Date,Open,High,Low,Close,Volume
2022-06-01,26.35,26.35,26.35,26.35,1018
2022-06-02,26.35,26.35,26.0,26.2,5000
2022-06-06,26.85,26.95,25.95,25.95,27210
2022-06-07,25.25,25.3,25.05,25.1,82187
2022-06-08,25.0,25.0,25.0,25.0,2019
2022-06-09,24.7,25.2,24.7,24.9,17109
2022-06-10,24.1,24.6,24.1,24.5,54112
2022-06-13,24.15,24.75,23.55,23.55,335027
2022-06-14,23.35,24.25,23.35,24.1,37510
2022-06-15,23.9,25.15,23.9,25.0,143348
2022-06-16,25.25,25.25,24.45,24.5,40040
2022-06-17,24.65,24.75,24.15,24.5,17010
2022-06-20,24.05,24.05,24.05,24.05,1269
2022-06-21,24.85,25.95,24.8,25.95,283010
2022-06-22,25.95,26.15,25.0,26.05,23100
2022-06-23,26.4,26.9,26.35,26.5,104271
2022-06-24,25.65,26.5,25.65,26.5,60424
2022-06-27,26.7,28.65,26.7,27.1,315147
2022-06-28,27.75,27.8,27.65,27.65,29201
2022-06-29,26.3,26.6,26.3,26.4,31030
2022-06-30,25.4,25.6,25.05,25.05,237843
2022-07-01,25.65,26.15,25.65,25.9,87216
2022-07-04,26.85,27.65,26.4,27.5,308428
2022-07-05,28.6,29.0,27.55,27.55,175788
2022-07-06,26.8,27.0,26.2,26.4,34059
2022-07-07,25.85,27.35,25.85,27.35,24020
2022-07-08,27.05,27.05,25.85,26.9,47049
2022-07-11,26.0,26.1,25.6,25.65,23000
2022-07-12,25.4,25.4,24.7,24.95,137113
2022-07-13,25.45,25.5,25.0,25.45,34010
2022-07-14,25.1,25.4,24.7,25.15,38019
2022-07-15,24.35,24.9,24.35,24.55,113000
2022-07-18,24.2,24.8,24.2,24.3,121129
2022-07-19,24.35,24.65,24.35,24.4,29015
2022-07-20,24.4,24.65,24.15,24.15,93000
2022-07-21,24.15,24.35,24.15,24.15,17000
2022-07-22,21.75,23.6,21.75,22.9,286398
2022-07-25,22.3,23.2,22.15,22.8,72746
2022-07-26,22.65,23.1,22.65,23.1,6385
2022-07-27,23.1,23.1,22.9,22.9,27210
2022-07-28,22.7,23.2,22.7,23.2,3024
2022-07-29,23.2,23.25,23.2,23.25,7400
2022-08-01,22.65,23.2,22.65,23.2,4061
2022-08-02,22.75,22.75,22.5,22.55,14059
2022-08-03,22.6,23.2,22.6,22.75,24060
2022-08-04,22.6,22.65,22.0,22.6,39281
2022-08-05,23.05,23.7,23.0,23.7,55188
2022-08-08,23.35,23.35,23.35,23.35,5499
2022-08-09,23.35,24.2,23.35,23.7,7217
2022-08-10,23.05,23.7,22.85,23.7,10012
2022-08-11,23.55,23.55,23.4,23.4,6700
2022-08-12,23.55,23.55,23.0,23.05,18000
2022-08-15,23.05,23.05,23.05,23.05,1000
2022-08-16,23.05,23.2,22.8,22.8,23170
2022-08-17,22.65,23.2,22.25,22.85,145968
2022-08-18,22.5,22.5,22.5,22.5,6741
2022-08-19,22.3,22.6,22.3,22.4,19941
2022-08-22,22.4,22.5,22.3,22.3,38118
2022-08-23,22.2,22.45,22.15,22.15,30251
2022-08-24,22.45,22.45,22.15,22.25,38824
2022-08-25,22.65,23.55,22.65,23.2,33000
2022-08-26,23.3,23.75,23.3,23.4,39176
2022-08-29,23.25,23.25,22.1,22.25,167548
2022-08-30,21.95,22.6,21.95,22.3,60215
2022-08-31,22.45,22.45,22.4,22.4,2000
2022-09-01,21.85,22.45,21.6,22.2,291615
2022-09-02,22.2,22.4,22.15,22.2,36391
2022-09-05,22.75,22.75,22.05,22.05,41144
2022-09-06,22.05,22.05,22.0,22.05,16108
2022-09-07,21.8,21.95,21.65,21.9,143864
2022-09-08,22.3,22.6,22.2,22.5,64970
2022-09-12,22.0,22.0,21.5,21.5,94172
2022-09-13,21.6,21.7,21.5,21.5,45704
2022-09-14,21.25,21.35,21.0,21.3,72814
2022-09-15,21.5,21.5,21.5,21.5,5001
2022-09-16,21.5,21.55,21.5,21.5,8179
2022-09-19,21.5,21.5,20.25,20.9,50584
2022-09-20,21.05,21.05,20.85,20.95,28638
2022-09-21,21.0,21.0,20.8,20.8,16626
2022-09-22,20.8,20.8,20.6,20.6,21182
2022-09-23,20.65,20.65,20.55,20.55,23456
2022-09-26,20.5,20.5,20.0,20.0,20817
2022-09-27,20.45,20.55,20.45,20.55,9516
2022-09-28,20.15,20.3,19.9,20.3,25952
2022-09-29,20.0,20.25,19.95,19.95,30747
2022-09-30,20.0,21.05,20.0,20.75,14532
2022-10-03,20.0,20.5,20.0,20.2,28544
2022-10-05,19.7,20.5,19.7,20.45,22361
2022-10-06,20.45,20.55,20.45,20.55,11947
2022-10-11,20.0,20.25,19.9,19.9,8345
2022-10-12,20.0,20.0,20.0,20.0,5934
2022-10-13,19.5,19.9,19.5,19.8,16050
2022-10-14,20.6,20.8,20.6,20.75,15115
2022-10-17,20.7,20.8,20.7,20.8,3312
2022-10-18,20.8,21.3,20.7,20.7,30046
2022-10-20,19.9,19.9,19.9,19.9,1540
2022-10-25,20.75,21.1,20.75,21.1,10304
2022-10-26,21.1,21.3,21.1,21.25,12406
2022-10-27,21.3,21.3,21.3,21.3,2222
2022-10-28,21.3,21.3,21.3,21.3,3136
2022-11-04,22.15,22.15,22.15,22.15,2080
2022-11-07,21.5,21.5,21.3,21.3,8994
2022-11-09,21.3,21.3,21.3,21.3,2010
2022-11-10,21.3,21.4,21.3,21.35,3375
2022-11-11,21.35,21.4,21.2,21.4,6984
2022-11-14,21.2,21.5,21.2,21.5,15200
2022-11-15,21.45,22.0,21.4,21.4,32595
2022-11-16,21.45,21.5,21.45,21.5,2240
2022-11-17,21.5,21.5,21.5,21.5,1360
2022-11-18,21.75,21.75,21.75,21.75,1581
2022-11-21,21.8,21.8,21.8,21.8,1265
2022-11-22,21.8,21.8,21.8,21.8,1225
2022-11-23,21.85,21.85,21.85,21.85,2239
2022-11-24,21.95,23.15,21.8,23.15,95769
2022-11-25,22.6,22.6,22.5,22.5,3574
2022-11-28,22.35,22.35,22.35,22.35,1298
2022-11-29,23.0,23.25,23.0,23.2,15515
2022-11-30,23.1,23.7,22.4,23.0,16096
2022-12-01,23.4,23.4,23.3,23.4,52022
2022-12-02,23.4,23.4,22.6,22.7,5751
2022-12-05,22.7,23.1,22.7,23.1,5209
2022-12-06,22.7,22.7,22.7,22.7,3040
2022-12-07,22.7,22.8,22.7,22.8,3000
2022-12-08,22.2,22.3,22.2,22.2,6212
2022-12-09,22.1,22.9,22.1,22.9,4060
2022-12-12,22.4,22.4,22.35,22.35,3008
2022-12-13,22.8,23.0,22.1,22.9,8005
2022-12-14,23.05,23.9,23.0,23.9,55685
2022-12-15,23.2,23.65,23.05,23.05,5550
2022-12-16,22.25,22.6,21.2,21.2,92963
2022-12-19,21.2,21.7,21.2,21.7,5035
2022-12-20,21.6,21.65,21.6,21.65,3020
2022-12-21,21.8,21.8,21.8,21.8,1606
2022-12-22,21.5,21.5,21.5,21.5,1079
2022-12-23,21.45,21.45,21.1,21.1,8299
2022-12-26,21.05,21.05,21.0,21.0,9000
2022-12-27,21.05,21.05,20.55,20.8,16476
2022-12-28,21.0,22.45,20.8,21.35,37650
2022-12-29,20.95,21.45,20.6,21.45,22521
2022-12-30,21.35,21.55,21.1,21.55,9077
2023-01-03,21.1,21.3,20.6,20.8,26435
2023-01-04,21.1,21.1,21.05,21.05,2999
2023-01-05,21.2,21.2,21.2,21.2,1065
2023-01-06,21.0,21.0,20.8,20.85,21863
2023-01-09,21.4,22.1,21.2,21.8,27221
2023-01-10,21.8,21.8,21.45,21.45,23120
2023-01-11,21.2,21.95,21.1,21.9,11038
2023-01-12,21.9,21.9,21.55,21.55,12226
2023-01-13,21.3,21.5,21.25,21.5,3834
2023-01-16,21.2,21.8,21.2,21.5,15126
2023-01-17,21.3,21.55,21.3,21.55,7101
2023-01-30,21.9,21.9,21.9,21.9,1250
2023-01-31,21.9,22.45,21.9,21.9,10005
2023-02-01,21.7,21.7,21.7,21.7,8511
2023-02-02,22.45,22.45,22.45,22.45,1000
2023-02-03,21.65,22.15,21.65,22.15,4568
2023-02-06,22.25,22.25,22.25,22.25,1500
2023-02-07,22.25,22.25,22.25,22.25,1127
2023-02-08,21.6,22.35,21.6,22.35,2570
2023-02-09,22.35,22.35,22.0,22.0,3032
2023-02-10,22.0,22.1,22.0,22.0,3150
2023-02-13,22.1,22.2,22.1,22.15,11020
2023-02-14,21.9,22.35,21.9,22.35,2010
2023-02-15,21.8,22.2,21.7,22.2,7026
2023-02-16,22.05,22.1,21.8,22.0,12060
2023-02-17,21.7,22.1,21.7,22.05,29060
2023-02-20,21.85,22.0,21.8,22.0,15719
2023-02-21,21.8,22.25,21.8,22.25,60071
2023-02-22,22.4,24.45,22.25,24.45,278516
2023-02-23,24.6,25.4,24.5,24.6,139933
2023-02-24,24.8,24.8,24.2,24.6,28149
2023-03-01,23.65,24.0,23.5,24.0,15996
2023-03-02,23.85,24.55,23.85,23.85,16570
2023-03-03,23.8,24.4,23.8,24.4,7240
2023-03-06,24.3,24.35,23.9,24.15,19229
2023-03-07,23.85,24.8,23.85,24.8,19648
2023-03-08,24.0,24.5,23.85,24.45,81645
2023-03-09,24.25,24.3,24.25,24.25,13609
2023-03-10,24.25,24.25,24.0,24.05,14742
2023-03-13,23.5,23.95,23.3,23.45,41090
2023-03-14,23.05,23.25,23.05,23.25,14842
2023-03-15,23.0,23.1,22.65,22.75,104212
2023-03-16,22.65,22.65,22.35,22.35,37375
2023-03-17,22.5,22.8,22.2,22.8,29604
2023-03-20,22.5,23.1,22.5,23.1,14154
2023-03-21,23.1,23.1,22.9,22.9,19228
2023-03-22,22.95,23.8,22.9,23.15,13984
2023-03-23,23.25,23.5,22.85,23.3,84879
2023-03-24,22.95,23.2,22.85,23.2,16869
2023-03-27,22.7,23.2,22.7,22.85,19573
2023-03-28,22.85,23.0,22.85,23.0,7295
2023-03-29,23.1,23.3,23.05,23.05,5366
2023-03-30,23.05,23.05,23.0,23.0,2829
2023-03-31,22.7,22.9,22.7,22.85,4818
2023-04-06,22.85,22.85,22.8,22.85,7721
2023-04-07,22.85,22.85,22.85,22.85,2038
2023-04-10,23.3,23.3,23.3,23.3,2676
2023-04-11,23.8,23.8,23.8,23.8,2070
2023-04-12,23.7,23.7,23.3,23.3,10366
2023-04-13,23.5,23.5,23.05,23.05,13492
2023-04-14,23.8,23.8,23.2,23.25,8740
2023-04-17,22.9,23.5,22.9,22.95,46497
2023-04-18,23.15,23.2,23.0,23.0,22939
