Date,Open,High,Low,Close,Volume
2022-06-01,32.45,32.55,32.2,32.2,123000
2022-06-02,32.5,32.5,32.2,32.25,39000
2022-06-06,32.5,32.6,32.25,32.6,61069
2022-06-07,32.6,32.6,32.3,32.4,97007
2022-06-08,32.45,32.45,32.25,32.35,59000
2022-06-09,32.6,32.6,32.3,32.55,33116
2022-06-10,32.3,32.6,32.3,32.6,31542
2022-06-13,32.3,32.45,32.25,32.45,52456
2022-06-14,32.65,33.95,32.65,32.7,426124
2022-06-15,33.0,33.5,32.8,33.15,116381
2022-06-16,33.35,33.5,32.9,33.1,72031
2022-06-17,33.25,33.25,32.7,32.75,124000
2022-06-20,32.95,32.95,32.35,32.35,134000
2022-06-21,32.3,32.65,32.3,32.65,90936
2022-06-22,32.8,32.8,32.3,32.6,47204
2022-06-23,32.8,33.0,32.4,32.9,76456
2022-06-24,32.95,33.05,32.7,32.9,87560
2022-06-27,32.8,33.05,32.6,33.0,61518
2022-06-28,33.05,33.05,32.65,32.75,68000
2022-06-29,32.9,32.9,32.65,32.85,30001
2022-06-30,32.6,32.6,32.4,32.55,84000
2022-07-01,32.45,32.5,31.45,31.45,136456
2022-07-04,31.6,32.0,31.55,31.9,42000
2022-07-05,32.4,32.4,32.0,32.4,44000
2022-07-06,32.65,32.65,32.05,32.15,32001
2022-07-07,32.15,32.3,31.85,32.3,54000
2022-07-08,32.3,32.3,32.0,32.2,40232
2022-07-11,32.2,32.2,31.9,32.1,28000
2022-07-12,31.75,32.0,31.65,31.85,78433
2022-07-13,31.85,31.95,31.85,31.85,57036
2022-07-14,31.75,32.3,31.75,32.3,39018
2022-07-15,32.3,32.3,31.7,31.7,34245
2022-07-18,31.7,31.7,31.6,31.6,30108
2022-07-19,31.6,31.75,31.6,31.75,23000
2022-07-20,31.8,31.9,31.65,31.75,36000
2022-07-21,31.85,31.9,31.6,31.9,32100
2022-07-22,31.9,31.9,31.7,31.8,41076
2022-07-25,31.8,32.3,31.8,32.0,41117
2022-07-26,32.05,32.15,31.8,32.15,36002
2022-07-27,32.3,32.3,31.95,32.15,32000
2022-07-28,32.25,32.25,32.0,32.05,47000
2022-07-29,32.15,32.2,31.85,31.95,27000
2022-08-01,31.9,32.0,31.75,31.95,69000
2022-08-02,31.85,31.85,31.7,31.7,22000
2022-08-03,31.7,31.7,31.2,31.55,222245
2022-08-04,31.55,31.8,31.35,31.45,64000
2022-08-05,31.55,31.7,31.5,31.6,98100
2022-08-08,31.6,31.6,31.15,31.4,165713
2022-08-09,31.45,31.55,31.45,31.45,56000
2022-08-10,31.45,31.5,31.4,31.45,41003
2022-08-11,31.65,31.65,31.5,31.55,48026
2022-08-12,31.55,31.6,31.45,31.6,50497
2022-08-15,31.6,31.6,31.5,31.55,44000
2022-08-16,31.6,31.7,31.6,31.65,36110
2022-08-17,31.75,32.4,31.75,32.25,136314
2022-08-18,32.25,32.4,32.15,32.35,35139
2022-08-19,32.45,32.45,32.25,32.4,30713
2022-08-22,32.5,34.15,32.45,34.1,496718
2022-08-23,34.0,34.1,33.4,33.55,156144
2022-08-24,33.55,33.75,33.3,33.4,140000
2022-08-25,33.45,33.55,33.25,33.4,77171
2022-08-26,33.95,35.2,33.95,34.55,612300
2022-08-29,33.95,34.55,33.95,34.45,101301
2022-08-30,34.5,34.95,34.2,34.95,111980
2022-08-31,35.0,35.85,34.95,35.6,425668
2022-09-01,35.8,37.0,35.6,36.4,640340
2022-09-02,36.6,37.25,36.15,36.4,502051
2022-09-05,36.2,37.2,36.15,36.8,412001
2022-09-06,37.05,37.1,36.7,36.75,186817
2022-09-07,36.7,36.8,36.1,36.35,138127
2022-09-08,36.75,36.95,36.45,36.5,135366
2022-09-12,37.0,37.8,36.9,37.5,240512
2022-09-13,37.5,37.7,37.45,37.5,107661
2022-09-14,36.9,37.2,36.3,36.3,303717
2022-09-15,36.3,36.45,35.0,35.0,483226
2022-09-16,35.0,35.1,34.85,35.05,118810
2022-09-19,35.45,36.4,35.45,36.2,222875
2022-09-20,36.55,37.3,36.45,36.95,359101
2022-09-21,36.8,37.3,36.8,37.2,200015
2022-09-22,37.0,37.65,36.85,37.2,378617
2022-09-23,37.2,37.7,36.95,37.3,110003
2022-09-26,37.05,37.35,36.2,36.2,239520
2022-09-27,36.3,37.2,36.25,37.1,152015
2022-09-28,37.0,37.0,36.45,36.45,123260
2022-09-29,36.7,37.05,36.6,36.65,117050
2022-09-30,37.65,37.75,33.05,33.15,1901641
2022-10-03,33.15,33.15,31.9,31.95,539867
2022-10-04,32.2,32.45,31.4,31.6,261740
2022-10-05,31.55,32.05,31.5,31.5,166001
2022-10-06,31.55,31.65,31.1,31.3,120001
2022-10-07,31.25,31.85,31.2,31.8,105817
2022-10-11,31.25,31.25,28.8,29.15,664053
2022-10-12,29.1,29.65,28.8,29.3,242146
2022-10-13,29.1,29.1,26.65,27.6,1011205
2022-10-14,27.85,29.15,27.85,28.9,181656
2022-10-17,28.45,28.65,28.15,28.55,137150
2022-10-18,28.55,28.65,28.3,28.55,100010
2022-10-19,28.65,28.9,28.4,28.4,74187
2022-10-20,28.0,28.15,27.45,27.75,221051
2022-10-21,28.25,28.25,27.55,27.7,44287
2022-10-24,27.85,28.15,27.75,28.15,50354
2022-10-25,28.05,29.75,28.05,29.6,156372
2022-10-26,29.45,29.45,28.7,29.0,93454
2022-10-27,29.2,29.2,28.8,29.1,68544
2022-10-28,28.8,29.15,28.5,28.75,60035
2022-10-31,28.95,29.0,28.8,28.9,115018
2022-11-01,28.85,29.4,28.85,29.4,62013
2022-11-02,29.4,29.5,29.2,29.45,23093
2022-11-03,29.4,29.75,29.1,29.75,106000
2022-11-04,29.6,30.9,29.6,30.75,230000
2022-11-07,30.8,30.9,30.5,30.7,39000
2022-11-08,30.9,31.3,30.75,31.0,78077
2022-11-09,31.0,31.5,31.0,31.45,63123
2022-11-10,31.3,31.45,31.15,31.45,34143
2022-11-11,31.65,32.3,31.3,32.1,189594
2022-11-14,32.0,32.35,31.9,32.15,89384
2022-11-15,32.0,33.35,31.9,32.6,191646
2022-11-16,32.4,32.65,31.7,31.7,137330
2022-11-17,31.85,31.85,31.1,31.2,149119
2022-11-18,31.2,31.5,31.05,31.35,40000
2022-11-21,31.35,31.65,31.3,31.5,69046
