Date,Open,High,Low,Close,Volume
2022-06-01,15.3,15.4,14.75,14.8,2352904
2022-06-02,14.9,14.95,14.5,14.65,1138909
2022-06-06,14.75,14.95,14.55,14.7,645007
2022-06-07,14.7,14.8,14.45,14.6,484155
2022-06-08,14.75,15.15,14.7,14.9,797784
2022-06-09,14.9,16.3,14.9,15.95,5336186
2022-06-10,15.3,15.45,15.0,15.1,2509237
2022-06-13,14.8,14.9,14.3,14.3,1903565
2022-06-14,14.05,14.3,14.0,14.15,894464
2022-06-15,14.2,14.65,14.15,14.25,599461
2022-06-16,14.35,14.5,13.9,14.0,695904
2022-06-17,13.75,14.05,13.75,13.9,795490
2022-06-20,14.0,14.1,13.25,13.4,682078
2022-06-21,13.4,14.05,13.4,14.05,500159
2022-06-22,14.0,14.0,13.4,13.75,460827
2022-06-23,14.15,14.15,13.5,13.6,441904
2022-06-24,13.8,13.95,13.6,13.75,194885
2022-06-27,13.9,14.1,13.9,14.0,247070
2022-06-28,14.0,14.35,13.85,13.85,231619
2022-06-29,13.7,13.85,13.45,13.55,275712
2022-06-30,13.45,13.6,13.3,13.35,436715
2022-07-01,13.35,13.5,13.0,13.0,476041
2022-07-04,13.05,13.2,12.7,12.9,374638
2022-07-05,12.95,13.25,12.7,13.0,480773
2022-07-06,13.05,13.05,12.4,12.6,553231
2022-07-07,12.6,13.0,12.5,12.95,260595
2022-07-08,12.95,13.2,12.95,13.05,309019
2022-07-11,13.5,13.7,13.2,13.2,333433
2022-07-12,13.1,13.1,12.7,12.85,300363
2022-07-13,13.05,13.45,13.0,13.4,343500
2022-07-14,13.35,13.45,13.3,13.35,170471
2022-07-15,13.3,13.5,13.2,13.4,189675
2022-07-18,13.5,13.6,13.25,13.4,230912
2022-07-19,13.4,13.75,13.35,13.6,351797
2022-07-20,13.75,13.75,13.45,13.45,204429
2022-07-21,13.5,13.65,13.3,13.6,226198
2022-07-22,13.7,13.75,13.4,13.45,202557
2022-07-25,13.4,13.5,13.35,13.4,85682
2022-07-26,13.45,13.5,13.35,13.35,75639
2022-07-27,13.35,13.4,13.3,13.35,90802
2022-07-28,13.4,13.65,13.4,13.45,232687
2022-07-29,13.55,14.45,13.5,14.2,918572
2022-08-01,14.2,14.2,14.0,14.15,306051
2022-08-02,14.1,14.1,13.85,13.85,234524
2022-08-03,13.85,15.2,13.85,15.2,2063013
2022-08-04,15.2,15.8,14.8,14.85,9432867
2022-08-05,15.1,16.3,14.95,16.3,7857987
2022-08-08,16.4,16.65,15.45,15.6,5719362
2022-08-09,15.6,16.2,15.5,15.8,1920226
2022-08-10,15.95,16.2,15.65,15.75,1437914
2022-08-11,16.15,16.8,15.3,15.45,7178449
2022-08-12,15.65,15.7,15.2,15.45,816945
2022-08-15,15.9,16.0,15.6,15.7,1195710
2022-08-16,15.9,16.2,15.6,15.7,1496648
2022-08-17,15.8,16.45,15.75,16.45,2561142
2022-08-18,16.6,16.85,16.25,16.3,3137992
2022-08-19,16.45,16.55,16.1,16.35,1547477
2022-08-22,16.2,17.15,16.15,16.5,3056721
2022-08-23,16.5,16.5,15.6,15.7,2031595
2022-08-24,15.95,16.5,15.7,16.5,1289913
2022-08-25,16.55,17.05,16.4,16.55,6147379
2022-08-26,16.55,17.15,16.45,16.7,3170789
2022-08-29,16.3,16.3,15.85,15.9,1523219
2022-08-30,16.0,16.85,15.95,16.65,1171056
2022-08-31,16.55,16.95,16.55,16.75,868359
2022-09-01,16.75,17.2,16.6,16.65,2257823
2022-09-02,16.75,17.05,16.5,16.5,1057728
2022-09-05,16.4,16.5,15.8,15.9,1596103
2022-09-06,16.2,16.2,15.35,15.5,934650
2022-09-07,15.35,15.9,15.35,15.85,575829
2022-09-08,16.0,16.05,15.75,15.9,530550
2022-09-12,15.85,15.9,15.6,15.6,527357
2022-09-13,15.85,16.0,15.7,15.8,346598
2022-09-14,15.6,15.95,15.35,15.8,271820
2022-09-15,15.9,16.15,15.8,16.0,501319
2022-09-16,15.85,16.35,15.6,15.75,1228852
2022-09-19,15.75,15.85,15.4,15.5,303571
2022-09-20,15.75,15.75,15.45,15.5,227084
2022-09-21,15.65,15.65,15.35,15.35,319419
2022-09-22,15.0,15.65,14.95,15.65,427456
2022-09-23,15.6,15.6,15.1,15.1,361480
2022-09-26,15.0,15.0,14.0,14.1,1230278
2022-09-27,14.1,14.4,14.05,14.4,305320
2022-09-28,14.3,14.55,13.5,13.5,998140
2022-09-29,14.05,14.85,13.8,14.15,1055519
2022-09-30,13.8,14.6,13.7,14.45,737551
2022-10-03,14.1,14.7,14.1,14.4,253200
2022-10-04,14.8,14.85,14.2,14.45,274748
2022-10-05,14.5,14.7,14.45,14.55,195474
2022-10-06,14.6,14.65,14.45,14.5,128420
2022-10-07,14.35,14.6,14.3,14.3,92343
2022-10-11,14.1,14.1,13.7,13.95,295231
2022-10-12,13.85,14.15,13.8,14.05,101855
2022-10-13,14.05,14.1,13.45,13.6,673085
2022-10-14,13.8,14.15,13.8,13.9,255490
2022-10-17,13.7,14.1,13.6,14.05,209366
2022-10-18,14.1,14.2,13.85,14.0,257353
2022-10-19,14.0,14.2,13.9,14.05,199639
2022-10-20,13.85,13.9,13.6,13.75,305982
2022-10-21,13.7,13.8,13.55,13.75,128052
2022-10-24,13.95,14.0,13.75,13.95,171650
2022-10-25,13.95,13.95,13.6,13.8,191162
2022-10-26,13.8,13.8,13.6,13.8,198230
2022-10-27,13.9,14.2,13.9,14.1,210241
2022-10-28,14.1,14.3,13.7,13.7,253436
2022-10-31,13.8,13.85,13.55,13.55,163906
2022-11-01,13.65,13.95,13.65,13.85,116122
2022-11-02,13.85,14.05,13.8,13.95,210378
2022-11-03,13.9,14.05,13.8,14.0,90530
2022-11-04,14.05,14.55,14.0,14.35,350383
2022-11-07,14.35,14.45,14.25,14.4,63518
2022-11-08,14.75,15.15,14.45,14.75,350235
2022-11-09,14.8,14.85,14.6,14.6,255980
2022-11-10,15.35,16.0,15.2,15.25,2337150
2022-11-11,15.65,15.95,15.35,15.75,1244960
2022-11-14,15.85,15.85,15.6,15.65,417670
2022-11-15,15.8,15.8,15.35,15.45,372833
2022-11-16,15.55,15.55,15.1,15.1,433755
2022-11-17,15.25,15.45,15.15,15.4,197242
2022-11-18,15.5,15.8,15.35,15.45,267252
2022-11-21,15.6,15.7,15.45,15.5,238073
2022-11-22,15.55,15.6,15.3,15.5,175519
2022-11-23,15.6,15.6,15.35,15.4,149284
2022-11-24,15.6,15.6,15.4,15.45,180305
2022-11-25,15.45,15.55,15.25,15.4,156006
2022-11-28,15.4,15.4,15.25,15.35,82570
2022-11-29,15.4,15.55,15.25,15.45,193951
2022-11-30,15.55,15.95,15.55,15.8,801315
2022-12-01,16.0,16.3,15.85,16.05,839204
2022-12-02,15.95,16.3,15.95,16.2,584567
2022-12-05,16.4,16.95,16.4,16.65,1215374
2022-12-06,16.75,16.75,16.1,16.2,536172
2022-12-07,16.25,16.4,15.8,16.05,367584
2022-12-08,16.05,16.8,15.9,16.45,452640
2022-12-09,16.45,16.65,16.25,16.45,397882
2022-12-12,18.05,18.05,18.05,18.05,2386889
2022-12-13,19.0,19.85,18.5,19.85,16030863
2022-12-14,19.85,21.8,19.6,21.4,37567410
2022-12-15,21.7,22.45,21.5,22.2,26821012
2022-12-16,20.95,21.7,20.7,21.7,12309342
2022-12-19,21.7,21.95,20.4,20.8,9955115
2022-12-20,20.75,21.0,19.45,19.75,8424235
2022-12-21,20.0,21.0,19.6,20.0,9288959
2022-12-22,19.8,21.25,19.8,20.6,12465448
2022-12-23,20.35,20.55,20.0,20.55,4147387
2022-12-26,21.0,21.0,19.5,19.5,5655167
2022-12-27,19.4,19.9,19.15,19.45,4769829
2022-12-28,19.6,19.6,18.85,18.9,3737901
2022-12-29,18.8,18.85,17.25,17.5,9333941
2022-12-30,18.05,18.2,17.25,17.25,4699437
2023-01-03,17.35,17.65,17.0,17.6,2168665
2023-01-04,17.65,18.05,17.55,17.75,2216612
