Date,Open,High,Low,Close,Volume
2022-06-01,12.2,12.2,12.05,12.2,131600
2022-06-02,12.2,12.2,12.05,12.15,151650
2022-06-06,12.15,12.2,12.1,12.15,119109
2022-06-07,12.15,12.25,12.15,12.2,82000
2022-06-08,12.2,12.25,12.15,12.2,68235
2022-06-09,12.25,12.25,12.1,12.15,251200
2022-06-10,12.05,12.2,12.05,12.15,100180
2022-06-13,12.05,12.2,12.0,12.2,143358
2022-06-14,12.2,12.2,12.05,12.2,118520
2022-06-15,12.1,12.25,12.1,12.2,194516
2022-06-16,12.25,12.3,12.15,12.2,261103
2022-06-17,12.2,12.2,12.05,12.2,176090
2022-06-20,12.15,12.15,12.0,12.1,282050
2022-06-21,12.15,12.2,12.05,12.15,159070
2022-06-22,12.2,12.2,12.0,12.05,298001
2022-06-23,12.05,12.15,12.0,12.15,199765
2022-06-24,12.15,12.2,12.05,12.05,233508
2022-06-27,12.15,12.2,12.1,12.2,124500
2022-06-28,12.1,12.15,12.05,12.15,80662
2022-06-29,12.05,12.1,11.9,11.9,260347
2022-06-30,11.9,11.9,11.75,11.85,375986
2022-07-01,11.85,11.85,11.6,11.65,243376
2022-07-04,11.7,11.75,11.6,11.75,187204
2022-07-05,12.0,12.05,11.6,11.8,250740
2022-07-06,11.7,11.7,11.55,11.65,226458
2022-07-07,11.65,11.65,11.55,11.65,167289
2022-07-08,11.65,11.7,11.6,11.65,168630
2022-07-11,11.5,11.5,10.75,11.4,1540850
2022-07-12,11.3,11.3,11.0,11.05,394500
2022-07-13,11.3,11.45,11.05,11.05,311050
2022-07-14,11.05,11.35,11.05,11.3,259335
2022-07-15,11.45,11.45,11.25,11.3,240051
2022-07-18,11.3,11.5,11.2,11.35,261450
2022-07-19,11.35,11.45,11.3,11.45,60339
2022-07-20,11.4,11.55,11.4,11.5,177046
2022-07-21,11.5,11.5,11.45,11.5,56101
2022-07-22,11.5,11.6,11.4,11.6,133207
2022-07-25,11.65,11.8,11.6,11.8,160780
2022-07-26,11.75,12.0,11.75,12.0,303943
2022-07-27,12.0,12.15,12.0,12.15,217150
2022-07-28,12.2,12.2,12.05,12.1,230602
2022-07-29,12.1,12.15,12.0,12.1,93000
2022-08-01,12.1,12.15,12.1,12.15,137061
2022-08-02,12.05,12.1,12.0,12.1,99000
2022-08-03,12.1,12.1,11.9,12.0,158015
2022-08-04,12.1,12.1,11.8,11.9,183544
2022-08-05,12.05,12.15,12.0,12.15,332330
2022-08-08,12.1,12.15,12.0,12.15,391900
2022-08-09,12.05,12.1,12.0,12.05,72300
2022-08-10,12.2,12.7,12.2,12.45,1202633
2022-08-11,12.6,12.6,12.3,12.35,438060
2022-08-12,12.35,12.45,12.35,12.45,277292
2022-08-15,12.45,12.45,12.35,12.4,103000
2022-08-16,12.4,12.45,12.4,12.45,85270
2022-08-17,12.45,12.45,12.35,12.45,185250
2022-08-18,12.4,12.45,12.35,12.45,274279
2022-08-19,12.45,12.75,12.4,12.75,258763
2022-08-22,12.7,12.85,12.65,12.7,527673
2022-08-23,12.7,12.75,12.6,12.75,168040
2022-08-24,12.75,12.95,12.7,12.8,304115
2022-08-25,12.8,12.95,12.8,12.85,273035
2022-08-26,12.9,12.95,12.85,12.95,173188
2022-08-29,12.75,12.85,12.7,12.8,340008
2022-08-30,12.8,12.85,12.75,12.8,123000
2022-08-31,12.8,12.85,12.75,12.75,248000
2022-09-01,12.7,12.75,12.5,12.65,245846
2022-09-02,12.7,12.85,12.55,12.6,364107
2022-09-05,12.6,12.65,12.5,12.6,122717
2022-09-06,12.65,12.7,12.55,12.6,121480
2022-09-07,12.5,12.5,12.35,12.4,188220
2022-09-08,12.55,12.55,12.45,12.5,103044
2022-09-12,12.55,12.65,12.45,12.6,164079
2022-09-13,12.65,12.75,12.5,12.55,481441
2022-09-14,12.45,12.55,12.4,12.45,244283
2022-09-15,12.45,12.5,12.4,12.5,111000
2022-09-16,12.4,12.45,12.25,12.35,252021
2022-09-19,12.4,12.4,12.2,12.25,348014
2022-09-20,12.25,12.3,12.15,12.15,191300
2022-09-21,12.2,12.3,12.1,12.2,395756
2022-09-22,12.1,12.25,12.1,12.25,88565
2022-09-23,12.2,12.25,12.1,12.25,65000
2022-09-26,12.2,12.35,11.8,11.85,406459
2022-09-27,11.9,12.0,11.75,12.0,419023
2022-09-28,11.9,11.9,11.5,11.65,385673
2022-09-29,11.75,11.75,11.5,11.65,105236
2022-09-30,11.75,11.75,11.45,11.55,192031
2022-10-03,11.55,11.6,11.35,11.5,79831
2022-10-04,11.6,11.65,11.5,11.5,104601
2022-10-05,11.5,11.6,11.45,11.55,294542
2022-10-06,11.55,11.6,11.5,11.55,55711
2022-10-07,11.45,11.55,11.45,11.55,58051
2022-10-11,11.55,11.55,11.3,11.45,173002
2022-10-12,11.35,11.45,11.25,11.4,189000
2022-10-13,11.3,11.6,11.05,11.25,504012
2022-10-14,11.25,11.75,11.1,11.75,740260
2022-10-17,11.55,11.85,11.4,11.85,352154
2022-10-18,11.85,12.1,11.55,12.1,429591
2022-10-19,12.0,12.3,11.9,12.3,559943
2022-10-20,12.2,12.2,11.9,12.05,176021
2022-10-21,12.0,12.0,11.7,11.85,138290
2022-10-24,11.85,11.9,11.65,11.75,74485
2022-10-25,11.8,11.85,11.5,11.7,103200
2022-10-26,11.7,11.8,11.6,11.7,84000
2022-10-27,11.75,11.9,11.65,11.9,64676
2022-10-28,12.0,12.0,11.7,11.8,40075
2022-10-31,11.85,11.95,11.6,11.85,113269
2022-11-01,11.85,11.95,11.7,11.9,20472
2022-11-02,11.9,11.9,11.75,11.9,39009
2022-11-03,11.9,11.95,11.85,11.95,182000
2022-11-04,11.8,12.25,11.8,12.25,303808
2022-11-07,12.3,12.35,12.1,12.2,397010
2022-11-08,12.15,12.25,12.15,12.15,103511
2022-11-09,12.2,12.25,12.15,12.25,282281
2022-11-10,12.25,12.5,12.25,12.4,521000
2022-11-11,12.65,12.65,12.35,12.4,261081
2022-11-14,12.5,12.6,12.45,12.6,256772
2022-11-15,12.6,12.6,12.45,12.55,305164
2022-11-16,12.45,12.55,12.35,12.4,905211
2022-11-17,12.55,12.95,12.55,12.85,1324819
2022-11-18,12.9,13.05,12.8,12.95,1092921
2022-11-21,13.0,13.1,12.9,13.0,668353
2022-11-22,13.0,13.05,12.95,13.0,369294
2022-11-23,13.05,13.25,12.95,13.25,1010519
2022-11-24,13.25,13.75,13.25,13.55,1823591
2022-11-25,13.55,13.7,13.55,13.65,480734
2022-11-28,13.45,13.75,13.4,13.6,444074
2022-11-29,13.55,13.65,13.55,13.6,264373
2022-11-30,13.6,13.7,13.55,13.65,377545
2022-12-01,13.7,13.75,13.65,13.7,341925
2022-12-02,13.7,13.9,13.7,13.8,572768
2022-12-05,13.9,14.2,13.85,14.1,1020946
2022-12-06,14.1,14.2,14.0,14.05,664278
2022-12-07,14.1,14.1,13.45,13.8,1131018
2022-12-08,13.8,13.9,13.65,13.8,299000
2022-12-09,13.8,13.8,13.55,13.55,434400
2022-12-12,13.55,13.55,13.4,13.55,197074
2022-12-13,13.5,13.5,13.0,13.1,1296887
2022-12-14,13.2,13.4,13.1,13.3,128885
2022-12-15,13.3,13.4,13.25,13.3,115000
2022-12-16,13.25,13.4,13.15,13.15,147000
