Date,Open,High,Low,Close,Volume
2022-06-01,20.05,20.05,19.55,19.95,32003
2022-06-02,19.55,19.55,19.55,19.55,1000
2022-06-06,20.15,20.15,19.55,19.75,12001
2022-06-07,19.55,19.65,19.5,19.65,9003
2022-06-08,19.85,19.85,19.65,19.7,8051
2022-06-09,19.7,19.7,19.3,19.3,28957
2022-06-10,19.4,19.4,19.2,19.25,21155
2022-06-13,19.25,19.25,19.15,19.2,23000
2022-06-14,19.2,19.2,18.9,18.9,52311
2022-06-15,19.0,19.8,19.0,19.5,46196
2022-06-16,19.6,19.6,19.25,19.3,30000
2022-06-17,19.3,19.3,18.85,19.1,74344
2022-06-20,19.4,19.4,19.0,19.0,49108
2022-06-21,19.05,19.4,19.05,19.35,24347
2022-06-22,19.35,19.35,19.2,19.2,25154
2022-06-23,19.2,19.3,19.15,19.3,48010
2022-06-24,19.5,19.5,19.25,19.25,42247
2022-06-27,19.5,19.5,19.35,19.4,41000
2022-06-28,19.4,19.4,19.3,19.3,13000
2022-06-29,19.3,19.5,19.3,19.5,14088
2022-06-30,19.5,19.5,19.2,19.45,40001
2022-07-01,19.5,19.5,19.2,19.2,41000
2022-07-04,19.55,19.6,19.2,19.5,23000
2022-07-05,19.7,19.7,19.4,19.4,27000
2022-07-06,19.4,19.4,19.0,19.0,76000
2022-07-07,19.0,19.55,19.0,19.15,12000
2022-07-08,19.15,19.2,19.05,19.1,46010
2022-07-11,19.1,19.25,18.9,18.9,31006
2022-07-12,18.9,18.9,18.8,18.9,26000
2022-07-13,19.05,19.05,18.95,18.95,18000
2022-07-14,18.95,19.0,18.95,18.95,10000
2022-07-15,19.0,19.0,18.8,18.8,27001
2022-07-18,18.8,19.0,18.8,18.85,16000
2022-07-19,18.9,19.0,18.9,19.0,3000
2022-07-20,19.0,19.0,18.8,18.8,42001
2022-07-21,18.8,19.2,18.5,18.8,55006
2022-07-22,18.8,18.8,18.7,18.8,20000
2022-07-25,18.85,19.0,18.85,19.0,5000
2022-07-26,19.0,19.25,18.95,19.25,27000
2022-07-27,19.25,19.25,19.0,19.0,32102
2022-07-28,19.0,19.0,18.9,18.95,36000
2022-07-29,19.0,19.0,19.0,19.0,6278
2022-08-01,19.0,19.0,18.95,19.0,12002
2022-08-02,19.0,19.55,18.8,19.55,38100
2022-08-03,19.5,19.5,19.0,19.1,50000
2022-08-04,19.1,19.1,18.7,18.8,30271
2022-08-05,18.8,18.8,18.6,18.6,40048
2022-08-08,18.6,18.6,18.6,18.6,33000
2022-08-09,18.6,18.65,18.6,18.6,13000
2022-08-10,18.6,19.2,18.55,19.2,43200
2022-08-11,19.2,19.2,19.1,19.2,16001
2022-08-12,19.2,19.2,19.1,19.1,7248
2022-08-15,19.1,19.2,19.1,19.1,7000
2022-08-16,19.1,19.15,19.1,19.1,7751
2022-08-17,19.2,19.2,18.9,18.95,30304
2022-08-18,18.95,19.1,18.95,19.1,9473
2022-08-19,19.1,19.1,19.1,19.1,5000
2022-08-22,19.1,19.1,19.1,19.1,5000
2022-08-23,19.1,19.3,19.0,19.1,24000
2022-08-24,19.2,19.2,19.0,19.2,11011
2022-08-25,19.2,19.45,19.1,19.1,33742
2022-08-26,19.15,19.4,19.15,19.15,11000
2022-08-29,19.15,19.15,19.1,19.1,31000
2022-08-30,19.1,19.2,19.05,19.2,24000
2022-08-31,19.2,19.3,19.15,19.3,19098
2022-09-01,19.3,19.3,19.0,19.0,74000
2022-09-02,19.0,19.3,19.0,19.3,9000
2022-09-05,19.3,19.35,19.3,19.35,18000
2022-09-06,19.35,19.4,19.3,19.4,16000
2022-09-07,19.2,19.2,19.0,19.1,27980
2022-09-08,19.1,19.25,19.1,19.25,2004
2022-09-12,19.3,19.4,19.3,19.4,11000
2022-09-13,19.2,19.3,19.15,19.2,23000
2022-09-14,19.3,19.3,19.15,19.3,30000
2022-09-15,19.15,19.7,19.15,19.5,25104
