Date,Open,High,Low,Close,Volume
2022-05-03,50.2,50.4,49.8,50.0,1238482
2022-05-04,50.2,50.6,49.35,49.35,905786
2022-05-05,49.5,49.8,49.2,49.25,503871
2022-05-06,49.0,49.15,48.45,48.45,997666
2022-05-09,48.35,48.35,47.9,47.95,1111048
2022-05-10,47.65,47.95,47.05,47.95,928443
2022-05-11,47.65,47.8,47.5,47.55,649719
2022-05-12,47.55,47.55,47.0,47.0,989023
2022-05-13,46.9,47.85,46.9,47.65,891502
2022-05-16,48.1,48.5,47.45,48.25,854252
2022-05-17,48.2,48.2,47.5,48.1,900555
2022-05-18,47.95,48.1,47.4,47.7,955656
2022-05-19,47.45,47.6,47.0,47.15,649857
2022-05-20,47.05,47.25,47.05,47.05,512500
2022-05-23,47.0,47.3,46.95,47.05,741641
2022-05-24,47.05,47.2,47.0,47.0,383526
2022-05-25,47.0,47.35,46.9,47.3,622869
2022-05-26,47.45,47.6,47.05,47.1,436528
2022-05-27,47.1,47.45,47.1,47.45,372444
2022-05-30,47.4,47.7,47.35,47.55,439225
2022-05-31,47.6,47.85,47.5,47.55,410234
2022-06-01,47.15,48.0,47.15,48.0,534095
2022-06-02,47.95,47.95,47.5,47.55,277985
2022-06-06,47.75,47.8,47.35,47.5,267991
2022-06-07,47.4,47.7,47.2,47.2,435344
2022-06-08,47.4,47.8,47.25,47.75,328029
2022-06-09,47.75,47.75,47.5,47.55,187912
2022-06-10,47.2,47.45,47.1,47.3,395454
2022-06-13,47.0,47.1,46.8,46.8,819789
2022-06-14,46.55,46.55,45.85,46.0,1708308
2022-06-15,46.1,46.75,45.85,46.2,1886919
2022-06-16,46.55,46.65,46.0,46.0,904342
2022-06-17,46.0,46.55,45.8,45.8,2258521
2022-06-20,45.8,45.95,44.85,45.15,1307424
2022-06-21,45.3,45.9,45.0,45.9,1145470
2022-06-22,45.9,46.2,45.2,45.7,1222890
2022-06-23,45.75,46.2,45.2,45.4,1309104
2022-06-24,45.45,46.2,45.45,46.2,988055
2022-06-27,46.65,46.9,46.25,46.7,893454
2022-06-28,46.7,46.85,46.5,46.65,350344
