Date,Open,High,Low,Close,Volume
2022-06-01,14.5,16.0,14.5,16.0,2689991
2022-06-02,16.9,17.45,16.25,16.3,5314459
2022-06-06,16.65,16.8,15.45,16.0,2029672
2022-06-07,15.95,17.6,15.65,17.6,3790177
2022-06-08,18.75,18.8,16.85,16.85,13019715
2022-06-09,17.65,18.5,17.2,17.45,12254860
2022-06-10,17.3,17.4,16.25,16.5,3261959
2022-06-13,16.0,16.1,15.7,15.9,1363894
2022-06-14,15.9,16.1,15.45,16.1,924071
2022-06-15,16.5,16.5,15.8,16.3,1006230
2022-06-16,16.2,16.75,15.5,15.55,1003060
2022-06-17,15.65,16.25,15.45,15.8,1024795
2022-06-20,16.0,16.0,14.7,14.85,864768
2022-06-21,15.35,15.35,14.75,15.0,494306
2022-06-22,15.15,15.3,14.1,14.3,442565
2022-06-23,14.2,14.45,13.35,13.7,537210
2022-06-24,13.95,13.95,13.45,13.75,614773
2022-06-27,13.85,14.15,13.7,14.0,249261
2022-06-28,14.0,14.0,13.4,13.5,284417
2022-06-29,13.45,13.95,13.3,13.55,624020
2022-06-30,13.6,13.6,13.2,13.2,248318
2022-07-01,13.15,13.5,12.6,12.7,600795
2022-07-04,12.75,13.4,12.75,13.25,322629
2022-07-05,13.45,13.65,13.15,13.35,206049
2022-07-06,13.3,13.3,12.5,12.5,264919
2022-07-07,12.6,13.0,12.6,12.9,286363
2022-07-08,12.9,13.05,12.85,12.9,62688
2022-07-11,12.85,13.0,12.8,12.95,130021
2022-07-12,12.9,13.25,12.8,13.05,221014
2022-07-13,13.1,13.35,13.1,13.2,69016
2022-07-14,12.75,13.25,12.75,13.1,135005
2022-07-15,13.1,13.3,12.95,13.25,101003
2022-07-18,13.15,13.25,13.15,13.2,129008
2022-07-19,13.0,13.25,13.0,13.15,78000
2022-07-20,13.2,13.35,13.0,13.05,238000
2022-07-21,13.25,13.3,12.9,13.05,156564
2022-07-22,13.05,13.1,12.95,13.05,73305
2022-07-25,12.95,13.1,12.95,13.05,38284
2022-07-26,13.1,13.35,13.1,13.1,96102
2022-07-27,13.1,13.55,13.1,13.1,142538
2022-07-28,13.2,13.5,12.95,13.2,71176
2022-07-29,13.0,13.15,13.0,13.1,57006
2022-08-01,13.1,13.1,13.0,13.1,89049
2022-08-02,13.5,14.4,13.4,14.4,1356979
2022-08-03,14.9,15.45,13.9,14.05,3166934
2022-08-04,13.75,13.9,13.3,13.3,725489
2022-08-05,13.6,13.65,13.45,13.45,198116
2022-08-08,13.55,14.1,13.45,14.1,351353
2022-08-09,14.1,14.1,13.7,13.7,216329
2022-08-10,14.05,14.05,13.7,13.75,136220
2022-08-11,14.0,14.35,13.85,13.95,262392
2022-08-12,14.2,14.45,14.1,14.35,202935
2022-08-15,14.6,14.6,14.15,14.25,49184
2022-08-16,14.6,14.6,14.05,14.05,124200
2022-08-17,14.2,14.2,13.75,13.8,142821
2022-08-18,13.8,13.95,13.65,13.7,146617
2022-08-19,13.8,14.0,13.65,13.8,160406
2022-08-22,13.7,13.7,13.55,13.6,109346
2022-08-23,13.75,13.75,13.45,13.45,128076
2022-08-24,13.5,13.5,13.2,13.3,265517
2022-08-25,13.3,13.5,13.3,13.5,63675
2022-08-26,13.6,13.6,13.4,13.4,106215
2022-08-29,13.4,13.4,13.25,13.35,43258
2022-08-30,13.3,13.5,13.3,13.4,58438
2022-08-31,13.4,13.55,13.3,13.5,70542
2022-09-01,13.3,13.3,13.2,13.3,59479
2022-09-02,13.25,13.4,12.85,13.05,163239
2022-09-05,13.2,13.2,12.7,12.85,210994
2022-09-06,13.95,13.95,12.95,13.0,476764
2022-09-07,13.0,13.35,12.85,13.05,252126
2022-09-08,13.3,13.3,13.0,13.25,63092
2022-09-12,13.25,13.25,13.0,13.15,99866
2022-09-13,13.35,13.35,13.15,13.15,84975
2022-09-14,13.15,13.15,13.0,13.15,53232
2022-09-15,13.05,13.25,13.0,13.25,89509
2022-09-16,13.05,13.2,13.05,13.2,50355
2022-09-19,13.15,13.15,12.85,13.0,90094
2022-09-20,13.1,13.2,12.95,13.1,109003
2022-09-21,13.05,13.05,12.7,12.8,147302
2022-09-22,12.9,12.95,12.7,12.9,77425
2022-09-23,12.95,13.0,12.9,12.95,63134
2022-09-26,12.75,12.75,12.1,12.25,243586
2022-09-27,12.25,12.4,12.2,12.4,70443
2022-09-28,12.5,12.5,12.15,12.2,177876
2022-09-29,12.3,12.35,12.2,12.25,111204
2022-09-30,12.05,12.55,12.05,12.35,60015
2022-10-03,12.5,12.65,12.2,12.25,68012
2022-10-04,12.3,12.45,12.3,12.45,17003
2022-10-05,12.4,12.55,12.0,12.1,92303
2022-10-06,12.15,12.3,12.1,12.3,56687
2022-10-07,12.3,12.3,12.1,12.3,52106
2022-10-11,12.3,12.3,12.05,12.1,40972
2022-10-12,12.0,12.3,12.0,12.05,65992
2022-10-13,12.1,12.1,11.5,11.75,204350
2022-10-14,12.1,12.35,11.95,12.2,53228
2022-10-17,12.1,12.3,12.0,12.3,62166
2022-10-18,12.3,12.55,12.3,12.55,84024
2022-10-19,12.25,12.95,12.25,12.6,56080
2022-10-20,12.5,12.5,12.3,12.5,75112
2022-10-21,12.5,12.65,12.45,12.45,34718
2022-10-24,12.45,12.5,12.4,12.5,74318
2022-10-25,12.6,12.6,12.45,12.55,47001
2022-10-26,12.55,12.65,12.55,12.55,34002
2022-10-27,12.55,12.65,12.55,12.65,15183
2022-10-28,12.7,12.7,12.6,12.65,15163
2022-10-31,12.9,12.9,12.5,12.7,93762
2022-11-01,12.8,12.8,12.6,12.6,18617
2022-11-02,12.6,12.6,12.55,12.55,21002
2022-11-03,12.75,12.75,12.55,12.65,6201
2022-11-04,12.6,12.65,12.5,12.65,22448
2022-11-07,12.85,12.85,12.55,12.55,86574
2022-11-08,12.6,12.8,12.55,12.6,53105
2022-11-09,12.6,12.8,12.6,12.65,17001
2022-11-10,12.6,12.75,12.6,12.65,24043
2022-11-11,12.7,12.8,12.6,12.65,128070
2022-11-14,12.65,12.75,12.65,12.7,13644
2022-11-15,12.7,13.05,12.65,13.05,97498
2022-11-16,12.9,13.75,12.85,13.4,339246
2022-11-17,13.6,13.7,13.5,13.5,65312
2022-11-18,13.65,13.7,13.2,13.25,64522
2022-11-21,13.45,13.45,13.1,13.35,80128
2022-11-22,13.8,13.8,13.3,13.35,95050
2022-11-23,13.35,13.4,13.15,13.25,139390
2022-11-24,13.35,13.35,13.15,13.3,109736
2022-11-25,13.4,13.45,12.95,13.2,287227
2022-11-28,12.95,13.25,12.95,13.1,89001
2022-11-29,13.1,13.7,13.1,13.5,175362
2022-11-30,13.5,13.65,13.3,13.4,128038
2022-12-01,13.5,13.5,13.3,13.35,202047
2022-12-02,13.3,13.35,13.2,13.3,108007
2022-12-05,13.35,13.4,13.25,13.3,159822
2022-12-06,13.3,13.3,13.1,13.15,62935
2022-12-07,13.3,13.9,13.2,13.25,299141
2022-12-08,13.25,13.4,13.1,13.1,90698
2022-12-09,13.2,13.2,13.1,13.1,68117
2022-12-12,13.1,13.1,13.0,13.05,56657
2022-12-13,13.05,13.1,13.0,13.0,52065
2022-12-14,13.0,13.1,13.0,13.0,95464
2022-12-15,13.0,13.05,12.95,12.95,78064
2022-12-16,12.95,12.95,12.8,12.8,87226
2022-12-19,12.85,12.85,12.8,12.8,75317
2022-12-20,13.0,13.0,12.7,12.75,67002
2022-12-21,12.9,12.95,12.75,12.8,65013
2022-12-22,12.9,12.9,12.85,12.9,29097
2022-12-23,12.7,12.9,12.7,12.85,33097
2022-12-26,12.9,12.9,12.75,12.8,36000
2022-12-27,12.85,12.9,12.8,12.9,27035
2022-12-28,12.85,12.9,12.8,12.85,38763
2022-12-29,12.8,13.05,12.8,13.05,64089
2022-12-30,12.9,13.25,12.9,13.25,53001
2023-01-03,13.0,13.25,12.9,13.25,117001
2023-01-04,13.45,13.5,13.1,13.35,89033
2023-01-05,13.35,13.45,13.05,13.3,59103
2023-01-06,13.35,13.35,13.15,13.35,9001
2023-01-09,13.4,13.55,13.3,13.4,69195
2023-01-10,13.45,13.45,13.25,13.35,79926
2023-01-11,13.35,13.35,13.2,13.25,65592
2023-01-12,13.2,13.65,13.2,13.5,157649
2023-01-13,13.6,13.65,13.35,13.45,135629
2023-01-16,13.55,13.55,13.2,13.25,84270
2023-01-17,13.4,13.45,13.25,13.3,19000
2023-01-30,13.6,13.65,13.3,13.35,53100
2023-01-31,13.35,13.45,13.2,13.35,65939
2023-02-01,13.3,13.5,13.2,13.35,65170
2023-02-02,13.35,13.45,13.3,13.35,73626
2023-02-03,13.3,13.4,13.3,13.35,8005
2023-02-06,13.25,13.4,13.25,13.4,19230
2023-02-07,13.25,13.4,13.25,13.35,50427
2023-02-08,13.35,13.35,13.25,13.25,53297
2023-02-09,13.3,13.4,13.25,13.3,47406
2023-02-10,13.2,13.25,13.15,13.15,25052
2023-02-13,13.15,13.15,13.1,13.1,57012
2023-02-14,13.35,13.35,13.2,13.2,6013
2023-02-15,13.15,13.15,13.0,13.0,133592
2023-02-16,13.1,13.1,12.95,13.05,63052
2023-02-17,13.05,13.05,13.05,13.05,27341
2023-02-20,13.0,13.05,12.95,12.95,113003
2023-02-21,13.0,13.1,13.0,13.1,20493
2023-02-22,13.05,13.1,13.0,13.05,25441
2023-02-23,13.05,13.15,12.95,13.05,98042
2023-02-24,13.05,13.05,12.95,12.95,64086
2023-03-01,12.95,13.0,12.9,12.95,12294
2023-03-02,13.0,13.0,12.9,12.95,65096
2023-03-03,13.0,13.0,12.85,12.95,110541
2023-03-06,12.9,12.95,12.85,12.85,133328
2023-03-07,12.9,12.95,12.85,12.9,187507
2023-03-08,12.9,12.9,12.8,12.9,108397
2023-03-09,12.9,12.9,12.85,12.9,23198
2023-03-10,12.85,12.85,12.75,12.85,113059
2023-03-13,12.75,12.85,12.75,12.8,27647
2023-03-14,12.75,12.75,12.7,12.7,50855
2023-03-15,12.75,12.75,12.65,12.65,116315
2023-03-16,12.6,12.6,12.4,12.5,112961
2023-03-17,12.6,12.65,12.6,12.6,6413
2023-03-20,12.65,12.65,12.5,12.6,22617
2023-03-21,12.6,12.65,12.6,12.65,39161
2023-03-22,12.65,12.65,12.65,12.65,11890
2023-03-23,12.65,12.75,12.6,12.7,26682
2023-03-24,12.8,12.8,12.65,12.7,15001
2023-03-27,12.55,12.6,12.45,12.55,113993
2023-03-28,12.55,12.55,12.5,12.5,10883
2023-03-29,12.6,12.6,12.5,12.55,110798
2023-03-30,12.6,12.65,12.5,12.65,31272
2023-03-31,12.65,13.5,12.65,13.15,222843
2023-04-06,13.15,13.3,13.15,13.25,31208
2023-04-07,13.4,13.65,13.3,13.3,93125
2023-04-10,13.2,13.4,13.2,13.4,32492
2023-04-11,13.5,13.5,13.0,13.2,88495
2023-04-12,13.25,13.4,13.25,13.4,29634
2023-04-13,13.25,13.35,12.95,13.3,260711
2023-04-14,13.35,13.5,13.2,13.5,55318
2023-04-17,13.5,13.6,13.5,13.55,53738
2023-04-18,13.55,13.65,13.55,13.55,48599
2023-04-19,13.5,13.6,13.5,13.5,70411
2023-04-20,13.5,13.5,13.4,13.4,20822
2023-04-21,13.45,13.5,13.2,13.25,60435
2023-04-24,13.2,13.35,13.2,13.35,42509
2023-04-25,13.3,13.35,13.15,13.35,28259
2023-04-26,13.4,13.5,13.4,13.5,3180
2023-04-27,13.1,13.45,13.1,13.45,6423
2023-04-28,13.4,13.45,13.3,13.3,26439
2023-05-02,13.35,13.55,13.3,13.4,11439
2023-05-03,13.35,13.45,13.2,13.45,128221
2023-05-04,13.45,13.65,13.35,13.35,73112
2023-05-05,13.4,13.65,13.4,13.6,49494
2023-05-08,13.6,13.85,13.6,13.8,193708
2023-05-09,13.95,14.35,13.9,14.25,188416
2023-05-10,14.5,15.65,14.25,15.65,1152333
2023-05-11,15.45,16.1,15.1,15.1,645282
2023-05-12,15.2,15.8,15.05,15.6,247802
2023-05-15,15.5,15.9,15.3,15.35,162556
2023-05-16,15.45,15.95,15.35,15.9,347413
2023-05-17,15.9,16.0,15.6,15.7,164377
2023-05-18,16.0,16.5,15.75,16.4,344994
2023-05-19,16.9,16.9,15.7,15.75,483185
2023-05-22,15.75,16.0,15.6,15.95,220038
2023-05-23,15.95,15.95,15.7,15.75,21583
2023-05-24,15.75,15.85,15.6,15.6,77414
2023-05-25,15.6,15.6,15.25,15.55,130798
2023-05-26,16.0,16.1,15.5,15.85,218047
2023-05-29,15.85,16.0,15.8,15.95,75374
2023-05-30,16.2,16.65,16.2,16.6,192139
2023-05-31,16.55,17.55,16.55,16.7,451341
2023-06-01,16.8,16.9,16.65,16.7,175972
2023-06-02,16.9,17.2,16.45,16.9,267619
2023-06-05,17.4,17.4,16.9,16.9,103600
2023-06-06,17.0,17.0,16.65,16.9,197002
2023-06-07,17.0,17.0,16.8,16.8,133604
2023-06-08,16.8,16.8,16.55,16.65,119522
2023-06-09,17.15,17.2,16.6,16.75,220109
2023-06-12,16.5,16.65,16.45,16.65,208384
2023-06-13,16.55,16.9,16.5,16.65,93118
2023-06-14,16.7,16.75,16.6,16.65,41724
2023-06-15,16.95,16.95,16.7,16.85,97186
2023-06-16,17.15,17.15,16.7,16.75,115351
2023-06-19,16.75,16.75,16.7,16.75,51346
2023-06-20,16.8,16.8,16.45,16.5,123426
2023-06-21,16.55,17.4,16.5,17.4,180190
2023-06-26,17.4,17.4,16.75,16.8,54030
2023-06-27,16.8,16.8,16.6,16.6,58057
2023-06-28,16.65,17.1,16.6,17.1,75257
2023-06-29,17.0,17.05,16.9,16.9,10252
2023-06-30,17.1,17.1,16.9,17.0,56032
2023-07-03,17.0,17.05,16.8,16.8,120248
2023-07-04,16.8,17.05,16.75,16.95,126450
2023-07-05,16.95,17.0,16.8,16.9,85603
2023-07-06,16.9,17.1,16.8,16.9,129182
2023-07-07,16.9,16.9,16.7,16.75,107043
