股票代碼,股票名稱,EPS,ROE,營收成長率,速動比率,現價,市值,產業,部門
2636.TW,T3EX Global Holdings Corp.,9.38,13.927999999999999,57.8,1.411,74.5,10203593728.0,Integrated Freight & Logistics,Industrials
1783.TW,Maxigen Biotech Inc.,2.12,13.900000000000002,38.2,3.609,43.0,3834013440.0,Medical Instruments & Supplies,Healthcare
1730.TW,"Farcent Enterprise Co.,Ltd",3.95,13.850999999999999,-4.3999999999999995,3.052,55.1,3484193280.0,Household & Personal Products,Consumer Defensive
3528.TW,"Answer Technology Co., Ltd.",4.11,13.791001,-11.200000000000001,0.663,67.4,4490592256.0,Electronics & Computer Distribution,Technology
1786.TW,SciVision Biotech Inc.,3.3,13.751,25.6,2.907,108.0,7760308224.0,Medical Instruments & Supplies,Healthcare
2851.TW,Central Reinsurance Corporation,3.14,13.729,8.799999999999999,6.122,27.15,21730560000.0,Insurance - Reinsurance,Financial Services
6278.TW,Taiwan Surface Mounting Technology Corp.,9.88,13.722000000000001,-2.5,1.348,106.0,30994190336.0,Semiconductors,Technology
2495.TW,"Infortrend Technology, Inc.",2.2,13.694,-2.8000000000000003,1.813,26.1,7139681280.0,Computer Hardware,Technology
2535.TW,"Da-Cin Construction Co.,Ltd.",5.19,13.691,-15.0,1.125,58.6,15229670400.0,Engineering & Construction,Industrials
6235.TW,Waffer Technology Corporation,3.05,13.62,-19.8,0.796,48.4,9670561792.0,Metal Fabrication,Industrials
2301.TW,Lite-On Technology Corporation,5.15,13.593,3.8,1.287,90.9,209092739072.0,Computer Hardware,Technology
6531.TW,AP Memory Technology Corporation,9.65,13.588999,5.4,9.861,251.5,40830521344.0,Semiconductors,Technology
1535.TW,China Ecotek Corporation,4.04,13.558,-0.5,1.195,57.5,7115222528.0,Pollution & Treatment Controls,Industrials
2915.TW,Ruentex Industries Ltd.,12.99,13.511999999999999,47.3,2.493,59.1,63102840832.0,Textile Manufacturing,Consumer Cyclical
5871.TW,Chailease Holding Company Limited,13.15,13.489999999999998,-10.0,1.267,116.0,194631761920.0,Credit Services,Financial Services
2542.TW,Highwealth Construction Corp.,3.12,13.465999,72.5,0.122,43.45,88263024640.0,Real Estate - Development,Real Estate
5534.TW,"Chong Hong Construction Co., Ltd.",7.83,13.386999999999999,0.5,0.132,99.0,28742275072.0,Real Estate - Development,Real Estate
3338.TW,"TaiSol Electronics Co., Ltd.",2.99,13.382,-12.3,1.661,51.9,4539070464.0,Electronic Components,Technology
2387.TW,Sunrex Technology Corporation,7.79,13.376,6.3,1.349,61.1,11824132096.0,Computer Hardware,Technology
2313.TW,"Compeq Manufacturing Co., Ltd.",4.69,13.375,-1.5,1.339,56.6,67457011712.0,Electronic Components,Technology
1210.TW,"Great Wall Enterprise Co., Ltd.",4.19,13.314,-5.2,0.508,57.7,48277995520.0,Packaged Foods,Consumer Defensive
3047.TW,"EDIMAX Technology Co., Ltd.",0.5,13.231000000000002,60.6,1.463,22.0,4891061760.0,Communication Equipment,Technology
2377.TW,"Micro-Star International Co., Ltd.",8.0,13.182999,4.7,1.118,162.0,136866668544.0,Computer Hardware,Technology
1616.TW,Evertop Wire Cable Corporation,2.04,13.166,13.8,0.922,23.5,4453109248.0,Electrical Equipment & Parts,Industrials
3694.TW,"AzureWave Technologies, Inc.",2.73,13.131,0.6,1.488,50.1,7643005440.0,Communication Equipment,Technology
9937.TW,"National Petroleum Co., Ltd.",2.38,13.13,-3.9,0.14,61.5,19006144512.0,Specialty Retail,Consumer Cyclical
3705.TW,YungShin Global Holding Corporation,3.87,13.103000000000002,22.3,1.421,56.4,15022986240.0,Drug Manufacturers - Specialty & Generic,Healthcare
1443.TW,"Lily Textile Co., Ltd.",1.81,13.059000000000001,28.499999999999996,0.09,29.8,4033221632.0,Integrated Freight & Logistics,Industrials
6790.TW,"Yuen Foong Yu Consumer Products Co., Ltd.",2.78,13.05,1.2,1.409,43.35,11580041216.0,Household & Personal Products,Consumer Defensive
2327.TW,Yageo Corporation,37.64,13.027,9.700000000000001,8.251,481.0,242492784640.0,Electronic Components,Technology
6191.TW,Global Brands Manufacture Ltd.,5.99,13.022,-11.5,1.412,64.0,30195392512.0,Electronic Components,Technology
6863.TW,"Arizon RFID Technology (Cayman) Co., Ltd.",11.06,12.995999999999999,75.5,2.147,189.0,14153832448.0,Electronic Components,Technology
2855.TW,President Securities Corporation,3.0,12.991,2.3,0.994,24.4,35522252800.0,Capital Markets,Financial Services
9941.TW,Yulon Finance Corporation,8.6,12.950999999999999,-5.800000000000001,0.979,105.5,57837740032.0,Credit Services,Financial Services
2762.TW,World Fitness Services Ltd.,3.18,12.876999999999999,5.6000000000000005,0.126,86.1,9404013568.0,Leisure,Consumer Cyclical
1618.TW,"Hold-Key Electric Wire & Cable Co., Ltd",3.69,12.870000000000001,3.9,1.303,42.35,8160505856.0,Electronics & Computer Distribution,Technology
2114.TW,"Hsin Yung Chien Co., Ltd.",5.08,12.859000000000002,-2.1,6.428,92.8,7237639168.0,Auto Parts,Consumer Cyclical
2347.TW,Synnex Technology International Corporation,5.52,12.852,-0.8,1.155,71.4,119091625984.0,Electronics & Computer Distribution,Technology
6962.TW,,5.51,12.798001000000001,-9.1,1.693,53.0,26097041408.0,Electronic Components,Technology
2303.TW,United Microelectronics Corporation,3.74,12.770000000000001,9.9,2.006,44.65,560732569600.0,Semiconductors,Technology
3051.TW,Optimax Technology Corporation,2.01,12.697,-7.6,2.046,29.3,4893100032.0,Electronic Components,Technology
2423.TW,"Good Will Instrument Co., Ltd.",2.4,12.642999,-6.800000000000001,2.306,44.75,6490853376.0,Scientific & Technical Instruments,Technology
3019.TW,"Asia Optical Co., Inc.",5.75,12.633,30.8,2.235,137.0,38256427008.0,Electronic Components,Technology
6115.TW,"I-Sheng Electric Wire & Cable Co., Ltd.",3.61,12.607999,24.8,2.071,52.8,9908553728.0,Electrical Equipment & Parts,Industrials
2606.TW,U-Ming Marine Transport Corporation,5.53,12.565999999999999,-2.6,1.751,64.4,54421606400.0,Marine Shipping,Industrials
1530.TW,"Awea mechantronic co.,ltd",4.66,12.554000000000002,4.6,0.936,30.4,2936463616.0,Specialty Industrial Machinery,Industrials
6438.TW,"Symtek Automation Asia Co., Ltd.",7.33,12.467,-7.1,1.559,184.0,15097438208.0,Specialty Industrial Machinery,Industrials
6937.TW,Skytech Inc.,6.02,12.44,55.50000000000001,3.166,222.5,15013698560.0,Semiconductors,Technology
9931.TW,"Hsin Kao Gas Co.,Ltd.",2.85,12.3830006,8.3,0.715,35.35,4255043840.0,Utilities - Regulated Gas,Utilities
9933.TW,CTCI Corporation,2.39,12.371001,5.5,0.932,39.85,32290373632.0,Engineering & Construction,Industrials
2373.TW,Aurora Corporation,4.26,12.347999,0.4,1.268,63.3,14160589824.0,Industrial Distribution,Industrials
1712.TW,Sinon Corporation,2.49,12.347,-3.5000000000000004,0.846,41.9,17618616320.0,Agricultural Inputs,Basic Materials
2204.TW,China Motor Corporation,8.42,12.336001000000001,-9.2,0.629,72.2,39971360768.0,Auto Manufacturers,Consumer Cyclical
2357.TW,ASUSTeK Computer Inc.,42.05,12.312,28.1,0.904,609.0,452340842496.0,Computer Hardware,Technology
3038.TW,Emerging Display Technologies Corp.,2.19,12.281,-9.0,3.05,24.6,3655904512.0,Electronic Components,Technology
6214.TW,Systex Corporation,7.63,12.279,3.2,1.377,126.5,31730372608.0,Information Technology Services,Technology
9918.TW,Shin Shin Natural Gas Company Limited,2.23,12.2770004,-0.7000000000000001,1.865,39.25,6986852864.0,Utilities - Regulated Gas,Utilities
2637.TW,"Wisdom Marine Lines Co., Limited (Cayman)",8.28,12.262998999999999,-6.7,0.556,70.3,52472557568.0,Marine Shipping,Industrials
8481.TW,"Transart Graphics Co., Ltd.",3.01,12.231,26.5,4.839,50.0,3330099968.0,Specialty Business Services,Industrials
8028.TW,Phoenix Silicon International Corporation,2.84,12.218001000000001,39.300000000000004,1.15,116.0,20024848384.0,Semiconductor Equipment & Materials,Technology
3312.TW,GMI Technology Inc.,2.33,12.154,7.3999999999999995,0.995,46.75,7602718208.0,Electronics & Computer Distribution,Technology
6005.TW,Capital Securities Corporation,2.25,12.139,21.7,0.629,25.35,55032569856.0,Capital Markets,Financial Services
2031.TW,Hsin Kuang Steel Company Limited,4.48,12.096,-0.8999999999999999,0.917,46.65,14981460992.0,Steel,Basic Materials
6239.TW,Powertech Technology Inc.,9.03,12.073,-10.2,2.228,122.0,91029938176.0,Semiconductors,Technology
8070.TW,Chang Wah Electromaterials Inc.,2.27,12.031999,7.7,1.925,41.8,29480327168.0,Electronics & Computer Distribution,Technology
6449.TW,"Apaq Technology Co., Ltd.",6.04,12.0299995,12.1,1.201,113.0,10277745664.0,Electronic Components,Technology
1225.TW,"Formosa Oilseed Processing Co., Ltd.",1.78,11.9849995,-12.7,0.87,34.1,8261338624.0,Packaged Foods,Consumer Defensive
2109.TW,"Hwa Fong Rubber Industrial Co., Ltd.",1.61,11.9849995,11.3,2.245,18.6,5195891200.0,Auto Parts,Consumer Cyclical
6743.TW,AMPACS Corporation,2.1,11.956,139.7,0.432,36.8,5427999744.0,Consumer Electronics,Technology
2393.TW,"Everlight Electronics Co., Ltd.",6.55,11.908000000000001,23.0,2.175,81.7,36225204224.0,Electronic Components,Technology
2433.TW,Huxen Corporation,3.27,11.894,-5.800000000000001,1.84,51.3,7412644864.0,Business Equipment & Supplies,Industrials
2885.TW,"Yuanta Financial Holding Co., Ltd.",2.77,11.894,3.9,2.124,33.45,432940023808.0,Financial Conglomerates,Financial Services
8463.TW,"Ruentex Materials Co.,Ltd.",1.25,11.848,14.299999999999999,0.803,24.2,3630000128.0,Building Materials,Basic Materials
2451.TW,"Transcend Information, Inc.",5.39,11.841,-7.000000000000001,6.925,100.5,43199320064.0,Computer Hardware,Technology
9926.TW,Shin Hai Gas Corporation,2.63,11.838,-1.0999999999999999,1.45,50.9,9136753664.0,Utilities - Regulated Gas,Utilities
8222.TW,Aero Win Technology Corporation,1.48,11.7189996,16.6,0.819,48.8,3346411264.0,Aerospace & Defense,Industrials
2414.TW,"Unitech Computer Co., Ltd.",2.65,11.6560005,21.099999999999998,1.086,38.4,6210662400.0,Computer Hardware,Technology
6184.TW,Dafeng TV Ltd.,3.17,11.6560005,3.1,1.758,52.9,7845705216.0,Entertainment,Communication Services
1609.TW,"Ta Ya Electric Wire & Cable Co., Ltd.",2.07,11.652,8.4,0.755,39.2,30237861888.0,Electrical Equipment & Parts,Industrials
3033.TW,"Weikeng Industrial Co., Ltd.",2.25,11.604000000000001,35.699999999999996,0.748,33.6,15936243712.0,Electronics & Computer Distribution,Technology
6414.TW,Ennoconn Corporation,17.17,11.59,15.8,0.955,282.5,38797418496.0,Computer Hardware,Technology
4912.TW,"Lemtech Holdings Co., Limited",6.45,11.562999999999999,27.400000000000002,1.258,105.0,6530244096.0,Metal Fabrication,Industrials
6446.TW,PharmaEssentia Corporation,8.9,11.535,85.9,9.339,518.0,167481311232.0,Drug Manufacturers - Specialty & Generic,Healthcare
6215.TW,Aurotek Corporation,2.11,11.508001,127.49999999999999,1.929,81.3,6730827264.0,Specialty Industrial Machinery,Industrials
6861.TW,InnoCare Optoelectronics Corporation,3.64,11.465,6.5,1.863,56.0,2324134400.0,Medical Devices,Healthcare
2748.TW,FDC International Hotels Corporation,3.13,11.4379995,-4.3999999999999995,1.835,55.1,5828422656.0,Lodging,Consumer Cyclical
4961.TW,Fitipower Integrated Technology Inc.,16.0,11.4259996,36.6,4.586,194.0,23511248896.0,Semiconductors,Technology
4551.TW,"Global PMX Co., Ltd.",8.27,11.391,22.7,1.659,100.0,11522199552.0,Auto Parts,Consumer Cyclical
2441.TW,Greatek Electronics Inc.,4.34,11.366,10.2,3.178,57.6,32765530112.0,Semiconductor Equipment & Materials,Technology
4952.TW,Generalplus Technology Inc.,2.25,11.3299996,-5.6000000000000005,2.799,45.7,4972891136.0,Semiconductors,Technology
4583.TW,"Apex Dynamics, Inc.",14.14,11.314,7.199999999999999,11.191,737.0,59086323712.0,Specialty Industrial Machinery,Industrials
2890.TW,SinoPac Financial Holdings Company Limited,1.75,11.292,7.199999999999999,,22.25,282261258240.0,Banks - Regional,Financial Services
5525.TW,"Sweeten Real Estate Development Co.,Ltd.",2.06,11.272000499999999,727.7,0.032,33.6,9668600832.0,Real Estate - Development,Real Estate
1473.TW,"Tainan Enterprises Co., Ltd.",3.02,11.254,6.0,1.595,35.3,5159236096.0,Apparel Manufacturing,Consumer Cyclical
2449.TW,"King Yuan Electronics Co., Ltd.",3.93,11.237001000000001,15.0,1.026,87.7,107234287616.0,Semiconductors,Technology
8112.TW,"Supreme Electronics Co., Ltd.",3.37,11.206000000000001,3.0,1.15,54.4,28383963136.0,Semiconductors,Technology
2015.TW,"Feng Hsin Steel Co., Ltd.",4.23,11.201999,-4.3,1.14,67.7,39374249984.0,Steel,Basic Materials
2356.TW,Inventec Corporation,2.02,11.115,54.400000000000006,0.808,42.2,151391240192.0,Computer Hardware,Technology
5283.TW,"Heran Co., Ltd.",6.38,11.083999,20.1,0.948,99.3,7248940032.0,Consumer Electronics,Technology
6768.TW,"Sports Gear Co., Ltd.",8.08,11.073,29.2,2.21,118.0,23133427712.0,Leisure,Consumer Cyclical
1203.TW,Ve Wong Corporation,2.36,11.0649996,-10.8,1.256,37.9,9009057792.0,Packaged Foods,Consumer Defensive
6285.TW,Wistron NeWeb Corporation,7.11,11.0489994,-5.800000000000001,0.999,139.5,67539623936.0,Communication Equipment,Technology
2634.TW,Aerospace Industrial Development Corporation,2.29,11.012,-13.4,0.716,48.95,46104391680.0,Aerospace & Defense,Industrials
3010.TW,Wah Lee Industrial Corporation,8.62,11.0,12.6,1.335,98.5,25554544640.0,Electronics & Computer Distribution,Technology
3266.TW,"Sunty Development Co., LTD",1.92,10.9969996,71.1,0.385,17.1,6024569344.0,Real Estate Services,Real Estate
9904.TW,Pou Chen Corporation,5.43,10.9560005,12.4,1.279,35.3,104021680128.0,Footwear & Accessories,Consumer Cyclical
6464.TW,"Taiwan Optical Platform Co., Ltd.",6.95,10.934000000000001,8.6,0.629,78.6,9873181696.0,Entertainment,Communication Services
2880.TW,"Hua Nan Financial Holdings Co., Ltd.",1.68,10.8059995,13.4,,27.8,383061753856.0,Banks - Regional,Financial Services
2402.TW,"Ichia Technologies, Inc.",2.35,10.775,14.6,1.275,36.0,10928591872.0,Electronic Components,Technology
