stock_code,code,name,market,sector,industry
5876.TW,5876,上海商銀,上市,Others,Others
5880.TW,5880,合庫金,上市,Others,Others
6005.TW,6005,群益證,上市,Technology,Others
6024.TW,6024,群益期,上市,Technology,Others
6108.TW,6108,競國,上市,Others,Others
6112.TW,6112,聚碩,上市,Others,Others
6116.TW,6116,彩晶,上市,Others,Others
6117.TW,6117,迎廣,上市,Others,Others
6120.TW,6120,達運,上市,Others,Others
6128.TW,6128,上福,上市,Others,Others
6131.TW,6131,悠克,上市,Others,Others
6133.TW,6133,金橋,上市,Others,Others
6138.TW,6138,茂達,上市,Others,Others
6139.TW,6139,亞翔,上市,Others,Others
6141.TW,6141,柏承,上市,Others,Others
6142.TW,6142,友勁,上市,Others,Others
6145.TW,6145,勁永,上市,Others,Others
6152.TW,6152,百一,上市,Others,Others
6153.TW,6153,嘉聯益,上市,Others,Others
6155.TW,6155,鈞寶,上市,Others,Others
6164.TW,6164,華興,上市,Others,Others
6165.TW,6165,捷泰,上市,Others,Others
6166.TW,6166,凌華,上市,Others,Others
6168.TW,6168,宏齊,上市,Others,Others
6172.TW,6172,互億,上市,Others,Others
6176.TW,6176,瑞儀,上市,Others,Others
6177.TW,6177,達麗,上市,Others,Others
6183.TW,6183,關貿,上市,Others,Others
6184.TW,6184,大豐電,上市,Others,Others
6189.TW,6189,豐藝,上市,Others,Others
6191.TW,6191,精成科,上市,Others,Others
6192.TW,6192,巨路,上市,Others,Others
6196.TW,6196,帆宣,上市,Others,Others
6197.TW,6197,佳必琪,上市,Others,Others
6201.TW,6201,元山,上市,Others,Others
6202.TW,6202,盛群,上市,Others,Others
6205.TW,6205,詮欣,上市,Others,Others
6206.TW,6206,飛捷,上市,Others,Others
6209.TW,6209,今國光,上市,Others,Others
6213.TW,6213,聯茂,上市,Others,Others
6214.TW,6214,精誠,上市,Others,Others
6215.TW,6215,和椿,上市,Others,Others
6216.TW,6216,居易,上市,Others,Others
6224.TW,6224,聚鼎,上市,Others,Others
6225.TW,6225,天瀚,上市,Others,Others
6226.TW,6226,光鼎,上市,Others,Others
6230.TW,6230,超眾,上市,Others,Others
6235.TW,6235,華孚,上市,Others,Others
6239.TW,6239,力成,上市,Others,Others
6243.TW,6243,迅杰,上市,Others,Others
6248.TW,6248,沅聖,上市,Others,Others
6251.TW,6251,定穎,上市,Others,Others
6257.TW,6257,矽格,上市,Others,Others
6269.TW,6269,台郡,上市,Others,Others
6271.TW,6271,同欣電,上市,Others,Others
6277.TW,6277,宏正,上市,Others,Others
6281.TW,6281,全國電子,上市,Others,Others
6285.TW,6285,啟碁,上市,Others,Others
6288.TW,6288,聯嘉,上市,Others,Others
6291.TW,6291,沛亨,上市,Others,Others
6456.TW,6456,GIS-KY,上市,Others,Others
6525.TW,6525,捷敏-KY,上市,Others,Others
6531.TW,6531,愛普,上市,Others,Others
6532.TW,6532,瑞耘,上市,Others,Others
6533.TW,6533,晶心科,上市,Others,Others
6541.TW,6541,泰福-KY,上市,Others,Others
6552.TW,6552,易華電,上市,Others,Others
6558.TW,6558,興能高,上市,Others,Others
6591.TW,6591,動力-KY,上市,Others,Others
6592.TW,6592,和潤企業,上市,Others,Others
6605.TW,6605,帝寶,上市,Others,Others
6715.TW,6715,嘉基,上市,Others,Others
6770.TW,6770,力積電,上市,Others,Others
6781.TW,6781,AES-KY,上市,Others,Others
6789.TW,6789,采鈺,上市,Others,Others
8011.TW,8011,台通,上市,Media,Others
8016.TW,8016,矽創,上市,Media,Others
8021.TW,8021,尖點,上市,Media,Others
8024.TW,8024,佑華,上市,Media,Others
8028.TW,8028,昇陽半導體,上市,Media,Others
8033.TW,8033,雷虎,上市,Media,Others
8035.TW,8035,東茂,上市,Media,Others
8039.TW,8039,台虹,上市,Media,Others
8046.TW,8046,南電,上市,Media,Others
8070.TW,8070,長華,上市,Media,Others
8081.TW,8081,致新,上市,Media,Others
8101.TW,8101,華冠,上市,Others,Others
8103.TW,8103,瀚荃,上市,Others,Others
8105.TW,8105,凌巨,上市,Others,Others
8110.TW,8110,華東,上市,Others,Others
8112.TW,8112,至上,上市,Others,Others
8114.TW,8114,振樺電,上市,Others,Others
8131.TW,8131,福懋科,上市,Others,Others
8201.TW,8201,無敵,上市,Others,Others
8213.TW,8213,志超,上市,Others,Others
8249.TW,8249,菱光,上市,Others,Others
8261.TW,8261,富鼎,上市,Others,Others
8271.TW,8271,宇瞻,上市,Others,Others
8358.TW,8358,金居,上市,Others,Others
8454.TW,8454,富邦媒,上市,Others,Others
8464.TW,8464,億豐,上市,Others,Others
8926.TW,8926,台汽電,上市,Others,Others
8940.TW,8940,新天地,上市,Others,Others
9910.TW,9910,豐泰,上市,Utilities,Others
9911.TW,9911,櫻花,上市,Utilities,Others
9914.TW,9914,美利達,上市,Utilities,Others
9917.TW,9917,中保科,上市,Utilities,Others
9918.TW,9918,欣天然,上市,Utilities,Others
9919.TW,9919,康那香,上市,Utilities,Others
9921.TW,9921,巨大,上市,Utilities,Others
