stock_code,code,name,market,sector,industry
2405.TW,2405,浩鑫,上市,Others,Others
2406.TW,2406,國碩,上市,Others,Others
2408.TW,2408,南亞科,上市,Others,Others
2409.TW,2409,友達,上市,Others,Others
2412.TW,2412,中華電,上市,Others,Others
2413.TW,2413,環科,上市,Others,Others
2414.TW,2414,精技,上市,Others,Others
2415.TW,2415,錩新,上市,Others,Others
2417.TW,2417,圓剛,上市,Others,Others
2419.TW,2419,仲琦,上市,Others,Others
2420.TW,2420,新巨,上市,Others,Others
2421.TW,2421,建準,上市,Others,Others
2423.TW,2423,固緯,上市,Others,Others
2424.TW,2424,隴華,上市,Others,Others
2425.TW,2425,承啟,上市,Others,Others
2426.TW,2426,鼎元,上市,Others,Others
2427.TW,2427,三商電,上市,Others,Others
