股票代碼,股票名稱,EPS,ROE,營收成長率,速動比率,現價,市值,產業,部門
3029.TW,"Zero One Technology Co., Ltd.",5.2,17.635,60.3,1.382,113.5,18955067392,Computer Hardware,Technology
3030.TW,"Test Research, Inc.",7.76,23.75,14.299999999999999,2.83,103.5,24448356352,Scientific & Technical Instruments,Technology
3031.TW,Bright LED Electronics Corp.,1.08,6.0749996,-1.9,3.998,18.1,3134974464,Electronic Components,Technology
3032.TW,"Compucase Enterprise Co., Ltd.",4.58,14.659001,-2.6,1.135,66.0,7410875904,Computer Hardware,Technology
3033.TW,"Weikeng Industrial Co., Ltd.",2.25,11.604000000000001,35.699999999999996,0.748,30.75,14584509440,Electronics & Computer Distribution,Technology
3034.TW,Novatek Microelectronics Corp.,33.4,30.104999999999997,-7.000000000000001,2.852,478.0,290868723712,Semiconductors,Technology
3035.TW,Faraday Technology Corporation,4.05,9.19,4.6,2.478,208.5,54324674560,Semiconductor Equipment & Materials,Technology
3036.TW,"WT Microelectronics Co., Ltd.",8.05,10.4729995,38.1,0.785,90.0,100543496192,Electronic Components,Technology
3037.TW,Unimicron Technology Corp.,3.31,5.673,14.399999999999999,1.197,86.8,132692033536,Electronic Components,Technology
3038.TW,Emerging Display Technologies Corp.,2.19,12.281,-9.0,3.05,22.7,3373537792,Electronic Components,Technology
3040.TW,"Global View Co., Ltd.",0.73,3.066,-12.6,7.212,44.95,2831849984,Consumer Electronics,Technology
3041.TW,ALi Corporation,-2.41,-19.073999,-10.6,1.656,25.45,2959326208,Semiconductor Equipment & Materials,Technology
3042.TW,TXC Corporation,6.39,15.09,9.4,2.212,85.1,29188702208,Electronic Components,Technology
3043.TW,"Powercom Co., Ltd",0.95,7.263,58.9,0.546,27.2,1060147200,Electrical Equipment & Parts,Industrials
3044.TW,Tripod Technology Corporation,15.86,17.863001,14.000000000000002,1.548,182.0,95660294144,Electronic Components,Technology
3045.TW,"Taiwan Mobile Co., Ltd.",4.56,16.865,4.8,0.422,113.0,341769617408,Telecom Services,Communication Services
3046.TW,Aopen Inc.,3.82,19.802,-8.4,1.7,44.3,3475246336,Computer Hardware,Technology
3047.TW,"EDIMAX Technology Co., Ltd.",0.5,13.231000000000002,60.6,1.463,20.5,4557580288,Communication Equipment,Technology
3048.TW,"EDOM Technology Co., Ltd.",-2.1,-11.848,3.8,0.704,24.3,6556869120,Electronics & Computer Distribution,Technology
3049.TW,HannsTouch Holdings Company,-1.1,-10.1210006,139.7,1.812,7.02,5630117376,Electronic Components,Technology
3050.TW,U-Tech Media Corporation,0.55,3.588,16.6,1.56,13.4,2076785536,Consumer Electronics,Technology
3051.TW,Optimax Technology Corporation,2.01,13.397998999999999,21.7,1.783,27.05,4490299904,Electronic Components,Technology
3052.TW,Apex Science & Engineering Corp.,0.97,5.94,-38.7,1.018,11.1,2264233472,Engineering & Construction,Industrials
3054.TW,"LIWANLI Innovation Co., Ltd.",-0.4,-2.587,367.6,7.675,20.75,1673508224,Drug Manufacturers - Specialty & Generic,Healthcare
3055.TW,Spirox Corporation,-2.23,-11.68,-79.5,4.687,60.0,6738299904,Semiconductor Equipment & Materials,Technology
3056.TW,"Fu Hua Innovation Co., Ltd.",6.14,27.633000000000003,42114.0,0.699,34.7,12352055296,Real Estate - Development,Real Estate
3057.TW,"Promise Technology, Inc.",-1.64,-22.808999999999997,1.7999999999999998,1.249,8.57,794256448,Computer Hardware,Technology
3058.TW,Leader Electronics Inc.,-2.02,-12.772,-13.900000000000002,1.1,11.4,2284274944,Electrical Equipment & Parts,Industrials
3059.TW,Altek Corporation,1.13,4.282,-14.099999999999998,1.899,35.1,10660220928,Scientific & Technical Instruments,Technology
3060.TW,"Min Aik Technology Co., Ltd.",0.45,2.444,20.3,1.388,24.7,3397806336,Electronic Components,Technology
3062.TW,CyberTAN Technology Inc.,0.01,0.058,13.5,1.715,22.35,7215138816,Communication Equipment,Technology
3090.TW,Nichidenbo Corporation,4.46,14.929,18.7,1.641,65.0,13818804224,Electronic Components,Technology
3092.TW,"Hotron Precision Electronic Industrial Co.,Ltd.",-2.08,-10.847999999999999,-20.3,0.906,23.4,2493316864,Electrical Equipment & Parts,Industrials
3094.TW,"Davicom Semiconductor, Inc.",0.17,1.4080000000000001,-26.400000000000002,21.026,24.3,2019745536,Semiconductors,Technology
3130.TW,104 Corporation,14.04,28.077,8.7,1.636,206.0,6837284352,Staffing & Employment Services,Industrials
3138.TW,Auden Techno Corp.,3.04,7.835,-12.1,1.148,84.6,4256259840,Communication Equipment,Technology
3149.TW,G-TECH Optoelectronics Corporation,-1.41,-14.468998999999998,10.5,0.985,28.4,5552171520,Electronic Components,Technology
3150.TW,Syncomm Technology Corp.,0.71,4.698,44.7,9.505,27.0,1198745984,Semiconductor Equipment & Materials,Technology
3164.TW,GenMont Biotech Incorporation,0.66,3.388,46.2,2.257,18.65,1613437568,Biotechnology,Healthcare
3167.TW,"Ta Liang Technology Co., Ltd.",1.45,5.1999997,109.7,1.081,73.2,6460104704,Specialty Industrial Machinery,Industrials
3168.TW,Data Image Corporation,2.91,10.6680006,1.7999999999999998,2.262,43.2,3373920000,Electronic Components,Technology
3189.TW,Kinsus Interconnect Technology Corp.,0.11,3.3680000000000003,7.3999999999999995,1.295,75.4,34431336448,Semiconductor Equipment & Materials,Technology
3209.TW,Alltek Technology Corporation,2.96,14.609,-22.3,0.923,34.65,8075009536,Communication Equipment,Technology
3229.TW,"Cheer Time Enterprise Co., Ltd",0.14,1.403,8.4,1.832,13.7,880403072,Electronic Components,Technology
3231.TW,Wistron Corporation,5.99,19.418,28.9,0.818,90.9,263051886592,Computer Hardware,Technology
3257.TW,Champion Microelectronic Corporation,2.36,11.7510006,-45.800000000000004,6.026,46.3,3695832576,Semiconductors,Technology
3266.TW,"Sunty Development Co., LTD",1.92,10.9969996,71.1,0.385,16.0,5637023744,Real Estate Services,Real Estate
3296.TW,"Powertech Industrial Co., Ltd.",0.5,4.053,15.7,1.264,21.6,2089238400,Consumer Electronics,Technology
3305.TW,Shenmao Technology Inc,2.95,7.553,44.2,1.458,55.8,7370510336,Electronic Components,Technology
3308.TW,"Bestec Power Electronics Co., Ltd.",0.98,5.43,-97.0,2.242,17.9,1074003584,Electrical Equipment & Parts,Industrials
3311.TW,Silitech Technology Corporation,0.81,1.48599995,14.299999999999999,1.785,32.75,2227000064,Electronic Components,Technology
3312.TW,GMI Technology Inc.,2.33,12.154,7.3999999999999995,0.995,43.85,7131105792,Electronics & Computer Distribution,Technology
3321.TW,Uniflex Technology Inc.,-2.15,-37.3,29.599999999999998,1.009,6.36,617937600,Electronic Components,Technology
3338.TW,"TaiSol Electronics Co., Ltd.",2.99,13.382,-12.3,1.661,48.9,4276696320,Electronic Components,Technology
3346.TW,"Laster Tech Co., Ltd.",2.16,7.981000000000001,-0.6,1.086,27.2,3295524864,Semiconductors,Technology
3356.TW,GeoVision Inc.,7.18,28.766000000000002,-4.3,5.847,47.9,3407993856,Security & Protection Services,Industrials
3376.TW,"Shin Zu Shing Co., Ltd.",7.11,8.1099994,10.0,2.835,220.5,43162435584,Metal Fabrication,Industrials
3380.TW,Alpha Networks Inc.,0.4,2.5039999,-17.2,0.96,27.6,14951443456,Communication Equipment,Technology
3406.TW,"Genius Electronic Optical Co.,Ltd.",38.28,18.917,-19.900000000000002,1.783,368.5,41545793536,Computer Hardware,Technology
3413.TW,Foxsemicon Integrated Technology Inc.,22.7,19.489999,42.0,2.147,251.0,26606000128,Semiconductor Equipment & Materials,Technology
3416.TW,Winmate Inc.,7.04,17.193002,33.7,2.469,133.0,10606351360,Electronic Components,Technology
3419.TW,"Wha Yu Industrial Co., Ltd.",-1.21,-14.929,-3.1,1.892,13.95,1680709888,Communication Equipment,Technology
3432.TW,"Tai Twun Enterprise Co., Ltd.",-0.55,-7.353999999999999,394.5,31.554,13.3,561659008,Electrical Equipment & Parts,Industrials
3437.TW,Advanced Optoelectronic Technology Inc.,-0.94,-6.868,0.1,2.695,16.4,2370587136,Semiconductors,Technology
3443.TW,Global Unichip Corp.,25.53,32.901,-4.6,1.062,999.0,133876989952,Semiconductors,Technology
3447.TW,XAVi Technologies Corporation,1.2,8.0019996,92.7,1.023,52.7,4075349248,Communication Equipment,Technology
3450.TW,Elite Advanced Laser Corporation,3.81,16.603,72.2,1.755,211.0,30738690048,Semiconductor Equipment & Materials,Technology
3454.TW,Vivotek Inc.,3.41,8.77,16.8,1.252,119.5,10344876032,Security & Protection Services,Industrials
3481.TW,Innolux Corporation,0.75,2.91,0.5,1.089,14.1,112532807680,Electronic Components,Technology
3494.TW,"HiTi Digital, Inc.",-1.08,-21.505,30.7,0.585,17.05,1616339968,Computer Hardware,Technology
3501.TW,"Well Shin Technology Co., Ltd.",6.08,10.600999999999999,5.8999999999999995,3.349,56.4,6669751296,Electrical Equipment & Parts,Industrials
3504.TW,Young Optics Inc.,-2.17,-12.349,-7.000000000000001,1.365,48.9,5577533952,Electrical Equipment & Parts,Industrials
3515.TW,ASROCK Incorporation,10.5,16.428,64.2,0.796,171.5,21193969664,Computer Hardware,Technology
