股票代碼,股票名稱,目前價格,成交量,市值,本益比,殖利率,更新時間
1451.TW,1451.TW,19.950000762939453,118050,0,0,0,2025-05-24 08:17:53
1452.TW,1452.TW,12.649999618530273,76001,0,0,0,2025-05-24 08:18:04
1453.TW,1453.TW,15.350000381469727,118330,0,0,0,2025-05-24 08:18:16
1454.TW,1454.TW,16.950000762939453,223000,0,0,0,2025-05-24 08:18:27
1455.TW,1455.TW,9.539999961853027,153583,0,0,0,2025-05-24 08:18:39
1456.TW,1456.TW,13.699999809265137,50017,0,0,0,2025-05-24 08:18:51
1457.TW,1457.TW,17.950000762939453,43000,0,0,0,2025-05-24 08:19:02
1459.TW,1459.TW,12.0,51030,0,0,0,2025-05-24 08:19:12
1460.TW,1460.TW,7.21999979019165,590065,0,0,0,2025-05-24 08:19:25
1463.TW,1463.TW,21.649999618530273,382000,0,0,0,2025-05-24 08:19:36
1464.TW,1464.TW,13.699999809265137,613087,0,0,0,2025-05-24 08:19:47
1465.TW,1465.TW,13.649999618530273,91000,0,0,0,2025-05-24 08:19:59
1466.TW,1466.TW,17.549999237060547,851640,0,0,0,2025-05-24 08:20:10
1467.TW,1467.TW,8.789999961853027,199000,0,0,0,2025-05-24 08:20:22
1468.TW,1468.TW,14.199999809265137,31000,0,0,0,2025-05-24 08:20:34
1470.TW,1470.TW,25.350000381469727,5000,0,0,0,2025-05-24 08:20:45
1471.TW,1471.TW,11.0,247515,0,0,0,2025-05-24 08:20:57
1472.TW,1472.TW,102.5,138065,0,0,0,2025-05-24 08:21:08
1473.TW,1473.TW,29.75,105010,0,0,0,2025-05-24 08:21:20
1474.TW,1474.TW,13.5,187999,0,0,0,2025-05-24 08:21:33
1475.TW,1475.TW,45.150001525878906,28000,0,0,0,2025-05-24 08:21:45
1476.TW,1476.TW,414.5,452181,0,0,0,2025-05-24 08:21:56
1477.TW,1477.TW,268.0,2712376,0,0,0,2025-05-24 08:22:08
1503.TW,1503.TW,194.5,19854924,0,0,0,2025-05-24 08:22:20
1504.TW,1504.TW,52.900001525878906,3288427,0,0,0,2025-05-24 08:22:32
1506.TW,1506.TW,12.050000190734863,157634,0,0,0,2025-05-24 08:22:43
1512.TW,1512.TW,9.069999694824219,197000,0,0,0,2025-05-24 08:22:54
1513.TW,1513.TW,153.5,5822309,0,0,0,2025-05-24 08:23:06
1514.TW,1514.TW,112.0,4674543,0,0,0,2025-05-24 08:23:17
1515.TW,1515.TW,33.29999923706055,724643,0,0,0,2025-05-24 08:23:28
1516.TW,1516.TW,21.649999618530273,799047,0,0,0,2025-05-24 08:23:40
1517.TW,1517.TW,11.399999618530273,52000,0,0,0,2025-05-24 08:23:51
1519.TW,1519.TW,479.0,2485453,0,0,0,2025-05-24 08:24:02
1521.TW,1521.TW,28.700000762939453,11000,0,0,0,2025-05-24 08:24:13
1522.TW,1522.TW,47.599998474121094,592200,0,0,0,2025-05-24 08:24:24
1524.TW,1524.TW,32.150001525878906,1317732,0,0,0,2025-05-24 08:24:36
1525.TW,1525.TW,64.5999984741211,23010,0,0,0,2025-05-24 08:24:47
1526.TW,1526.TW,22.649999618530273,34010,0,0,0,2025-05-24 08:24:58
1527.TW,1527.TW,39.0,147103,0,0,0,2025-05-24 08:25:10
1528.TW,1528.TW,13.75,1001433,0,0,0,2025-05-24 08:25:22
1529.TW,1529.TW,29.75,4719162,0,0,0,2025-05-24 08:25:34
1530.TW,1530.TW,32.0,65098,0,0,0,2025-05-24 08:25:45
1531.TW,1531.TW,12.600000381469727,59024,0,0,0,2025-05-24 08:25:56
1532.TW,1532.TW,26.899999618530273,203030,0,0,0,2025-05-24 08:26:08
1533.TW,1533.TW,29.450000762939453,57002,0,0,0,2025-05-24 08:26:20
